{file: Rasputin_Light_Combo_Part_2-0.png; pivotX: 127.2866; pivotY: 284.9601}
{file: Rasputin_Light_Combo_Part_2-1.png; pivotX: 131.2961; pivotY: 288.9712}
{file: Rasputin_Light_Combo_Part_2-2.png; pivotX: 142.7523; pivotY: 296.7459}
{file: Rasputin_Light_Combo_Part_2-3.png; pivotX: 146.6651; pivotY: 303.8408}
{file: Rasputin_Light_Combo_Part_2-4.png; pivotX: 129.4557; pivotY: 310.9891}
{file: Rasputin_Light_Combo_Part_2-5.png; pivotX: 122.7602; pivotY: 317.7005}
{file: Rasputin_Light_Combo_Part_2-6.png; pivotX: 100.4203; pivotY: 321.976}
{file: Rasputin_Light_Combo_Part_2-7.png; pivotX: 98.99908; pivotY: 323.5976}
{file: Rasputin_Light_Combo_Part_2-8.png; pivotX: 100.093; pivotY: 325.3849}
{file: Rasputin_Light_Combo_Part_2-9.png; pivotX: 98.06954; pivotY: 326.8794}
{file: Rasputin_Light_Combo_Part_2-10.png; pivotX: 97.05572; pivotY: 332.0919}
{file: Rasputin_Light_Combo_Part_2-11.png; pivotX: 110.231; pivotY: 335.2087}
{file: Rasputin_Light_Combo_Part_2-12.png; pivotX: 118.1437; pivotY: 337.6481}
{file: Rasputin_Light_Combo_Part_2-13.png; pivotX: 131.4014; pivotY: 335.8714}
{file: Rasputin_Light_Combo_Part_2-14.png; pivotX: 119.8859; pivotY: 339.9187}
{file: Rasputin_Light_Combo_Part_2-15.png; pivotX: 119.242; pivotY: 337.1673}
{file: Rasputin_Light_Combo_Part_2-16.png; pivotX: 102.4644; pivotY: 333.7248}
{file: Rasputin_Light_Combo_Part_2-17.png; pivotX: 123.4642; pivotY: 330.4032}
{file: Rasputin_Light_Combo_Part_2-18.png; pivotX: 194.7603; pivotY: 324.5508}
{file: Rasputin_Light_Combo_Part_2-19.png; pivotX: 138.2818; pivotY: 368.362}
{file: Rasputin_Light_Combo_Part_2-20.png; pivotX: 117.0056; pivotY: 371.6601}
{file: Rasputin_Light_Combo_Part_2-21.png; pivotX: 122.4112; pivotY: 308.8115}
{file: Rasputin_Light_Combo_Part_2-22.png; pivotX: 126.4328; pivotY: 310.7211}
{file: Rasputin_Light_Combo_Part_2-23.png; pivotX: 234.3212; pivotY: 314.8127}
{file: Rasputin_Light_Combo_Part_2-24.png; pivotX: 249.737; pivotY: 316.725}
