{file: Rasputin_Special_3-0.png; posX: 2.980232E-10; posY: 0}
{file: Rasputin_Special_3-1.png; posX: -0.01658579; posY: -0.0005430579}
{file: Rasputin_Special_3-2.png; posX: -0.03305447; posY: -0.001003206}
{file: Rasputin_Special_3-3.png; posX: -0.04946151; posY: -0.001369894}
{file: Rasputin_Special_3-4.png; posX: -0.06586237; posY: -0.001632452}
{file: Rasputin_Special_3-5.png; posX: -0.08233413; posY: -0.001780331}
{file: Rasputin_Special_3-6.png; posX: -0.09899081; posY: -0.001802862}
{file: Rasputin_Special_3-7.png; posX: -0.1159434; posY: -0.001689553}
{file: Rasputin_Special_3-8.png; posX: -0.1333028; posY: -0.001429677}
{file: Rasputin_Special_3-9.png; posX: -0.1513453; posY: -0.001012743}
{file: Rasputin_Special_3-10.png; posX: -0.171775; posY: -0.000428021}
{file: Rasputin_Special_3-11.png; posX: -0.1957167; posY: 0.0003349781}
{file: Rasputin_Special_3-12.png; posX: -0.2211699; posY: 0.001286864}
{file: Rasputin_Special_3-13.png; posX: -0.2456989; posY: 0.002438307}
{file: Rasputin_Special_3-14.png; posX: -0.2668677; posY: 0.003799915}
{file: Rasputin_Special_3-15.png; posX: -0.2822405; posY: 0.00538218}
{file: Rasputin_Special_3-16.png; posX: -0.290266; posY: 0.00719583}
{file: Rasputin_Special_3-17.png; posX: -0.2930264; posY: 0.009251356}
{file: Rasputin_Special_3-18.png; posX: -0.2935363; posY: 0.01155949}
{file: Rasputin_Special_3-19.png; posX: -0.2932383; posY: 0.01413071}
{file: Rasputin_Special_3-20.png; posX: -0.2915621; posY: 0.0169757}
{file: Rasputin_Special_3-21.png; posX: -0.2885035; posY: 0.01996022}
{file: Rasputin_Special_3-22.png; posX: -0.2840582; posY: 0.02286595}
{file: Rasputin_Special_3-23.png; posX: -0.278222; posY: 0.02557719}
{file: Rasputin_Special_3-24.png; posX: -0.2709905; posY: 0.02797836}
{file: Rasputin_Special_3-25.png; posX: -0.2623595; posY: 0.02995372}
{file: Rasputin_Special_3-26.png; posX: -0.2523246; posY: 0.03138775}
{file: Rasputin_Special_3-27.png; posX: -0.2408815; posY: 0.03216469}
{file: Rasputin_Special_3-28.png; posX: -0.228026; posY: 0.03216898}
{file: Rasputin_Special_3-29.png; posX: -0.2135651; posY: 0.03128493}
{file: Rasputin_Special_3-30.png; posX: -0.1942814; posY: 0.02939683}
{file: Rasputin_Special_3-31.png; posX: -0.1675198; posY: 0.02638918}
{file: Rasputin_Special_3-32.png; posX: -0.1352877; posY: 0.02214622}
{file: Rasputin_Special_3-33.png; posX: -0.1000389; posY: 0.01655239}
{file: Rasputin_Special_3-34.png; posX: -0.06422733; posY: 0.01054704}
{file: Rasputin_Special_3-35.png; posX: -0.03030721; posY: 0.005154967}
{file: Rasputin_Special_3-36.png; posX: -9.62317E-05; posY: 0.0003884435}
{file: Rasputin_Special_3-37.png; posX: 0.02395201; posY: -0.003740191}
