{file: Rasputin_Special_3-0.png; pivotX: 96.41716; pivotY: 323.1423}
{file: Rasputin_Special_3-1.png; pivotX: 93.26688; pivotY: 322.0158}
{file: Rasputin_Special_3-2.png; pivotX: 89.98557; pivotY: 321.7664}
{file: Rasputin_Special_3-3.png; pivotX: 86.72585; pivotY: 320.687}
{file: Rasputin_Special_3-4.png; pivotX: 83.32439; pivotY: 320.5051}
{file: Rasputin_Special_3-5.png; pivotX: 79.92655; pivotY: 319.4768}
{file: Rasputin_Special_3-6.png; pivotX: 76.38351; pivotY: 319.3667}
{file: Rasputin_Special_3-7.png; pivotX: 72.86177; pivotY: 318.4258}
{file: Rasputin_Special_3-8.png; pivotX: 70.73763; pivotY: 318.4141}
{file: Rasputin_Special_3-9.png; pivotX: 68.48332; pivotY: 318.4609}
{file: Rasputin_Special_3-10.png; pivotX: 66.58672; pivotY: 318.5818}
{file: Rasputin_Special_3-11.png; pivotX: 64.28992; pivotY: 319.6695}
{file: Rasputin_Special_3-12.png; pivotX: 62.86615; pivotY: 319.9669}
{file: Rasputin_Special_3-13.png; pivotX: 60.87811; pivotY: 321.2456}
{file: Rasputin_Special_3-14.png; pivotX: 59.90535; pivotY: 321.6477}
{file: Rasputin_Special_3-15.png; pivotX: 59.40315; pivotY: 322.0871}
{file: Rasputin_Special_3-16.png; pivotX: 63.43135; pivotY: 322.5743}
{file: Rasputin_Special_3-17.png; pivotX: 66.26488; pivotY: 324.0836}
{file: Rasputin_Special_3-18.png; pivotX: 68.80398; pivotY: 324.8039}
{file: Rasputin_Special_3-19.png; pivotX: 70.92003; pivotY: 325.6045}
{file: Rasputin_Special_3-20.png; pivotX: 72.70342; pivotY: 326.4742}
{file: Rasputin_Special_3-21.png; pivotX: 74.20618; pivotY: 326.4966}
{file: Rasputin_Special_3-22.png; pivotX: 78.91563; pivotY: 327.4333}
{file: Rasputin_Special_3-23.png; pivotX: 82.27776; pivotY: 327.464}
{file: Rasputin_Special_3-24.png; pivotX: 84.78473; pivotY: 327.4489}
{file: Rasputin_Special_3-25.png; pivotX: 86.88824; pivotY: 328.2524}
{file: Rasputin_Special_3-26.png; pivotX: 87.53908; pivotY: 328.0257}
{file: Rasputin_Special_3-27.png; pivotX: 88.10125; pivotY: 327.6278}
{file: Rasputin_Special_3-28.png; pivotX: 87.50581; pivotY: 327.9245}
{file: Rasputin_Special_3-29.png; pivotX: 86.06241; pivotY: 327.9622}
{file: Rasputin_Special_3-30.png; pivotX: 82.83167; pivotY: 327.6072}
{file: Rasputin_Special_3-31.png; pivotX: 78.32482; pivotY: 326.7602}
{file: Rasputin_Special_3-32.png; pivotX: 77.18678; pivotY: 326.4262}
{file: Rasputin_Special_3-33.png; pivotX: 77.01493; pivotY: 324.9371}
{file: Rasputin_Special_3-34.png; pivotX: 82.92263; pivotY: 324.2072}
{file: Rasputin_Special_3-35.png; pivotX: 89.28102; pivotY: 322.557}
{file: Rasputin_Special_3-36.png; pivotX: 94.88686; pivotY: 320.9663}
{file: Rasputin_Special_3-37.png; pivotX: 99.40656; pivotY: 319.5462}
{file: Rasputin_Special_3-38.png; pivotX: 102.5295; pivotY: 318.4494}
{file: Rasputin_Special_3-39.png; pivotX: 104.4574; pivotY: 318.6848}
{file: Rasputin_Special_3-40.png; pivotX: 104.9716; pivotY: 318.2157}
{file: Rasputin_Special_3-41.png; pivotX: 104.7437; pivotY: 318.7341}
{file: Rasputin_Special_3-42.png; pivotX: 104.3641; pivotY: 318.5116}
{file: Rasputin_Special_3-43.png; pivotX: 102.8801; pivotY: 318.4135}
{file: Rasputin_Special_3-44.png; pivotX: 101.1671; pivotY: 317.5434}
{file: Rasputin_Special_3-45.png; pivotX: 99.34488; pivotY: 317.6103}
{file: Rasputin_Special_3-46.png; pivotX: 97.68692; pivotY: 316.7971}
{file: Rasputin_Special_3-47.png; pivotX: 96.21817; pivotY: 316.8397}
{file: Rasputin_Special_3-48.png; pivotX: 95.07413; pivotY: 315.9769}
{file: Rasputin_Special_3-49.png; pivotX: 94.01917; pivotY: 315.963}
{file: Rasputin_Special_3-50.png; pivotX: 92.99191; pivotY: 316.839}
{file: Rasputin_Special_3-51.png; pivotX: 92.03454; pivotY: 317.6929}
{file: Rasputin_Special_3-52.png; pivotX: 91.3849; pivotY: 317.7095}
{file: Rasputin_Special_3-53.png; pivotX: 90.44948; pivotY: 317.793}
{file: Rasputin_Special_3-54.png; pivotX: 90.26383; pivotY: 317.9124}
{file: Rasputin_Special_3-55.png; pivotX: 90.5965; pivotY: 317.1287}
{file: Rasputin_Special_3-56.png; pivotX: 91.28586; pivotY: 316.2733}
{file: Rasputin_Special_3-57.png; pivotX: 92.3312; pivotY: 315.3424}
{file: Rasputin_Special_3-58.png; pivotX: 93.96458; pivotY: 314.3519}
{file: Rasputin_Special_3-59.png; pivotX: 96.02409; pivotY: 314.2318}
{file: Rasputin_Special_3-60.png; pivotX: 98.30328; pivotY: 314.2599}
{file: Rasputin_Special_3-61.png; pivotX: 100.4666; pivotY: 315.1495}
{file: Rasputin_Special_3-62.png; pivotX: 102.4886; pivotY: 315.1597}
{file: Rasputin_Special_3-63.png; pivotX: 103.6039; pivotY: 315.1592}
{file: Rasputin_Special_3-64.png; pivotX: 105.142; pivotY: 315.1501}
{file: Rasputin_Special_3-65.png; pivotX: 105.7533; pivotY: 314.2573}
{file: Rasputin_Special_3-66.png; pivotX: 106.128; pivotY: 313.298}
{file: Rasputin_Special_3-67.png; pivotX: 106.461; pivotY: 312.3091}
{file: Rasputin_Special_3-68.png; pivotX: 106.5527; pivotY: 311.3465}
{file: Rasputin_Special_3-69.png; pivotX: 106.0865; pivotY: 309.5661}
{file: Rasputin_Special_3-70.png; pivotX: 105.3318; pivotY: 307.8433}
{file: Rasputin_Special_3-71.png; pivotX: 104.058; pivotY: 306.1703}
{file: Rasputin_Special_3-72.png; pivotX: 102.6353; pivotY: 306.3996}
{file: Rasputin_Special_3-73.png; pivotX: 101.0786; pivotY: 306.6583}
{file: Rasputin_Special_3-74.png; pivotX: 98.63622; pivotY: 307.8023}
{file: Rasputin_Special_3-75.png; pivotX: 96.02932; pivotY: 308.9569}
{file: Rasputin_Special_3-76.png; pivotX: 92.53268; pivotY: 311.0017}
{file: Rasputin_Special_3-77.png; pivotX: 87.70779; pivotY: 313.987}
{file: Rasputin_Special_3-78.png; pivotX: 82.98696; pivotY: 316.2158}
{file: Rasputin_Special_3-79.png; pivotX: 78.02797; pivotY: 318.5956}
{file: Rasputin_Special_3-80.png; pivotX: 73.18236; pivotY: 321.0068}
{file: Rasputin_Special_3-81.png; pivotX: 77.37981; pivotY: 322.6353}
{file: Rasputin_Special_3-82.png; pivotX: 81.55338; pivotY: 323.4846}
{file: Rasputin_Special_3-83.png; pivotX: 85.17187; pivotY: 324.3811}
{file: Rasputin_Special_3-84.png; pivotX: 88.3549; pivotY: 325.2493}
{file: Rasputin_Special_3-85.png; pivotX: 91.07813; pivotY: 325.1414}
{file: Rasputin_Special_3-86.png; pivotX: 93.24007; pivotY: 324.9489}
{file: Rasputin_Special_3-87.png; pivotX: 95.38977; pivotY: 325.5708}
{file: Rasputin_Special_3-88.png; pivotX: 97.15398; pivotY: 325.227}
{file: Rasputin_Special_3-89.png; pivotX: 98.36003; pivotY: 325.7591}
{file: Rasputin_Special_3-90.png; pivotX: 99.90302; pivotY: 327.1293}
{file: Rasputin_Special_3-91.png; pivotX: 100.8351; pivotY: 327.5461}
{file: Rasputin_Special_3-92.png; pivotX: 101.4391; pivotY: 327.9203}
{file: Rasputin_Special_3-93.png; pivotX: 102.1028; pivotY: 328.2637}
{file: Rasputin_Special_3-94.png; pivotX: 102.4195; pivotY: 329.494}
{file: Rasputin_Special_3-95.png; pivotX: 102.6193; pivotY: 329.8102}
{file: Rasputin_Special_3-96.png; pivotX: 102.7637; pivotY: 330.1175}
{file: Rasputin_Special_3-97.png; pivotX: 102.9593; pivotY: 329.5106}
{file: Rasputin_Special_3-98.png; pivotX: 103.1554; pivotY: 329.8075}
{file: Rasputin_Special_3-99.png; pivotX: 103.3176; pivotY: 330.1471}
{file: Rasputin_Special_3-100.png; pivotX: 103.4446; pivotY: 329.6605}
{file: Rasputin_Special_3-101.png; pivotX: 103.4846; pivotY: 330.1613}
{file: Rasputin_Special_3-102.png; pivotX: 103.4551; pivotY: 330.7318}
{file: Rasputin_Special_3-103.png; pivotX: 103.3693; pivotY: 331.3617}
