{file: Rasputin_Light_Combo_Part_3-0.png; posX: 1.683254; posY: 0}
{file: Rasputin_Light_Combo_Part_3-1.png; posX: 1.686629; posY: -0.001805305}
{file: Rasputin_Light_Combo_Part_3-2.png; posX: 1.690042; posY: -0.003943861}
{file: Rasputin_Light_Combo_Part_3-3.png; posX: 1.693552; posY: -0.006300569}
{file: Rasputin_Light_Combo_Part_3-4.png; posX: 1.697215; posY: -0.008760273}
{file: Rasputin_Light_Combo_Part_3-5.png; posX: 1.70109; posY: -0.01120776}
{file: Rasputin_Light_Combo_Part_3-6.png; posX: 1.705236; posY: -0.01352799}
{file: Rasputin_Light_Combo_Part_3-7.png; posX: 1.70971; posY: -0.01560563}
{file: Rasputin_Light_Combo_Part_3-8.png; posX: 1.714571; posY: -0.0173257}
{file: Rasputin_Light_Combo_Part_3-9.png; posX: 1.719877; posY: -0.0172025}
{file: Rasputin_Light_Combo_Part_3-10.png; posX: 1.72715; posY: -0.01357961}
{file: Rasputin_Light_Combo_Part_3-11.png; posX: 1.738548; posY: -0.006085455}
{file: Rasputin_Light_Combo_Part_3-12.png; posX: 1.755082; posY: 0.005651474}
{file: Rasputin_Light_Combo_Part_3-13.png; posX: 1.777763; posY: 0.01884836}
{file: Rasputin_Light_Combo_Part_3-14.png; posX: 1.807605; posY: 0.02949029}
{file: Rasputin_Light_Combo_Part_3-15.png; posX: 1.837085; posY: 0.03610057}
{file: Rasputin_Light_Combo_Part_3-16.png; posX: 1.858825; posY: 0.03720266}
{file: Rasputin_Light_Combo_Part_3-17.png; posX: 1.874046; posY: 0.03429049}
{file: Rasputin_Light_Combo_Part_3-18.png; posX: 1.883969; posY: 0.03001404}
{file: Rasputin_Light_Combo_Part_3-19.png; posX: 1.889817; posY: 0.02463084}
{file: Rasputin_Light_Combo_Part_3-20.png; posX: 1.892811; posY: 0.01839828}
{file: Rasputin_Light_Combo_Part_3-21.png; posX: 1.894173; posY: 0.01157385}
{file: Rasputin_Light_Combo_Part_3-22.png; posX: 1.895124; posY: 0.004414976}
{file: Rasputin_Light_Combo_Part_3-23.png; posX: 1.896886; posY: -0.00282073}
{file: Rasputin_Light_Combo_Part_3-24.png; posX: 1.898579; posY: -0.009875953}
{file: Rasputin_Light_Combo_Part_3-25.png; posX: 1.89858; posY: -0.0164932}
{file: Rasputin_Light_Combo_Part_3-26.png; posX: 1.896997; posY: -0.02241492}
{file: Rasputin_Light_Combo_Part_3-27.png; posX: 1.893938; posY: -0.02738374}
{file: Rasputin_Light_Combo_Part_3-28.png; posX: 1.889511; posY: -0.03114212}
{file: Rasputin_Light_Combo_Part_3-29.png; posX: 1.883824; posY: -0.03343266}
{file: Rasputin_Light_Combo_Part_3-30.png; posX: 1.876986; posY: -0.03399783}
{file: Rasputin_Light_Combo_Part_3-31.png; posX: 1.869105; posY: -0.03349936}
{file: Rasputin_Light_Combo_Part_3-32.png; posX: 1.860288; posY: -0.03277344}
{file: Rasputin_Light_Combo_Part_3-33.png; posX: 1.850645; posY: -0.03182435}
{file: Rasputin_Light_Combo_Part_3-34.png; posX: 1.840282; posY: -0.03065646}
{file: Rasputin_Light_Combo_Part_3-35.png; posX: 1.829309; posY: -0.02927411}
{file: Rasputin_Light_Combo_Part_3-36.png; posX: 1.817834; posY: -0.02768147}
{file: Rasputin_Light_Combo_Part_3-37.png; posX: 1.805964; posY: -0.02588302}
{file: Rasputin_Light_Combo_Part_3-38.png; posX: 1.793808; posY: -0.02388299}
{file: Rasputin_Light_Combo_Part_3-39.png; posX: 1.781474; posY: -0.02168572}
{file: Rasputin_Light_Combo_Part_3-40.png; posX: 1.769011; posY: -0.01929551}
{file: Rasputin_Light_Combo_Part_3-41.png; posX: 1.756589; posY: -0.01671666}
{file: Rasputin_Light_Combo_Part_3-42.png; posX: 1.7445; posY: -0.01395351}
{file: Rasputin_Light_Combo_Part_3-43.png; posX: 1.733035; posY: -0.01101035}
{file: Rasputin_Light_Combo_Part_3-44.png; posX: 1.722487; posY: -0.007891476}
{file: Rasputin_Light_Combo_Part_3-45.png; posX: 1.713146; posY: -0.0046013}
{file: Rasputin_Light_Combo_Part_3-46.png; posX: 1.705305; posY: -0.001144052}
{file: Rasputin_Light_Combo_Part_3-47.png; posX: 1.699253; posY: 0.002475977}
{file: Rasputin_Light_Combo_Part_3-48.png; posX: 1.695284; posY: 0.006254375}
{file: Rasputin_Light_Combo_Part_3-49.png; posX: 1.693689; posY: 0.01018691}
{file: Rasputin_Light_Combo_Part_3-50.png; posX: 1.694758; posY: 0.0144071}
{file: Rasputin_Light_Combo_Part_3-51.png; posX: 1.698785; posY: 0.01893568}
{file: Rasputin_Light_Combo_Part_3-52.png; posX: 1.706059; posY: 0.02359903}
{file: Rasputin_Light_Combo_Part_3-53.png; posX: 1.714278; posY: 0.02822357}
{file: Rasputin_Light_Combo_Part_3-54.png; posX: 1.721031; posY: 0.03263575}
{file: Rasputin_Light_Combo_Part_3-55.png; posX: 1.726454; posY: 0.03666192}
{file: Rasputin_Light_Combo_Part_3-56.png; posX: 1.73068; posY: 0.04012847}
{file: Rasputin_Light_Combo_Part_3-57.png; posX: 1.733845; posY: 0.04286194}
{file: Rasputin_Light_Combo_Part_3-58.png; posX: 1.736083; posY: 0.04468864}
{file: Rasputin_Light_Combo_Part_3-59.png; posX: 1.737527; posY: 0.04543501}
{file: Rasputin_Light_Combo_Part_3-60.png; posX: 1.738313; posY: 0.0454039}
{file: Rasputin_Light_Combo_Part_3-61.png; posX: 1.738575; posY: 0.04507971}
{file: Rasputin_Light_Combo_Part_3-62.png; posX: 1.738447; posY: 0.04456085}
{file: Rasputin_Light_Combo_Part_3-63.png; posX: 1.738064; posY: 0.04394591}
{file: Rasputin_Light_Combo_Part_3-64.png; posX: 1.73756; posY: 0.04333353}
{file: Rasputin_Light_Combo_Part_3-65.png; posX: 1.737069; posY: 0.04282212}
