{file: Rasputin_Light_Combo_Part_2-0.png; posX: 0.2307926; posY: 0}
{file: Rasputin_Light_Combo_Part_2-1.png; posX: 0.220098; posY: -0.007748961}
{file: Rasputin_Light_Combo_Part_2-2.png; posX: 0.1947565; posY: -0.01581883}
{file: Rasputin_Light_Combo_Part_2-3.png; posX: 0.171245; posY: -0.02329987}
{file: Rasputin_Light_Combo_Part_2-4.png; posX: 0.1537905; posY: -0.02928227}
{file: Rasputin_Light_Combo_Part_2-5.png; posX: 0.1553413; posY: -0.03285629}
{file: Rasputin_Light_Combo_Part_2-6.png; posX: 0.1896606; posY: -0.03311223}
{file: Rasputin_Light_Combo_Part_2-7.png; posX: 0.252008; posY: -0.02914029}
{file: Rasputin_Light_Combo_Part_2-8.png; posX: 0.3458262; posY: -0.02003074}
{file: Rasputin_Light_Combo_Part_2-9.png; posX: 0.4611307; posY: -0.007144213}
{file: Rasputin_Light_Combo_Part_2-10.png; posX: 0.5847299; posY: 0.006627262}
{file: Rasputin_Light_Combo_Part_2-11.png; posX: 0.7034323; posY: 0.01989627}
{file: Rasputin_Light_Combo_Part_2-12.png; posX: 0.8091986; posY: 0.03127545}
{file: Rasputin_Light_Combo_Part_2-13.png; posX: 0.8907153; posY: 0.03937745}
{file: Rasputin_Light_Combo_Part_2-14.png; posX: 0.9351963; posY: 0.04281491}
{file: Rasputin_Light_Combo_Part_2-15.png; posX: 0.9764526; posY: 0.04020041}
{file: Rasputin_Light_Combo_Part_2-16.png; posX: 1.047441; posY: 0.03014666}
{file: Rasputin_Light_Combo_Part_2-17.png; posX: 1.163089; posY: 0.009572029}
{file: Rasputin_Light_Combo_Part_2-18.png; posX: 1.393021; posY: -0.01867068}
{file: Rasputin_Light_Combo_Part_2-19.png; posX: 1.606098; posY: -0.04706722}
{file: Rasputin_Light_Combo_Part_2-20.png; posX: 1.674505; posY: -0.06810361}
{file: Rasputin_Light_Combo_Part_2-21.png; posX: 1.675139; posY: -0.07830465}
{file: Rasputin_Light_Combo_Part_2-22.png; posX: 1.675404; posY: -0.0809136}
{file: Rasputin_Light_Combo_Part_2-23.png; posX: 1.67085; posY: -0.0784933}
{file: Rasputin_Light_Combo_Part_2-24.png; posX: 1.662446; posY: -0.07360667}
{file: Rasputin_Light_Combo_Part_2-25.png; posX: 1.651159; posY: -0.06881666}
{file: Rasputin_Light_Combo_Part_2-26.png; posX: 1.637959; posY: -0.0649091}
{file: Rasputin_Light_Combo_Part_2-27.png; posX: 1.623812; posY: -0.06097406}
{file: Rasputin_Light_Combo_Part_2-28.png; posX: 1.609688; posY: -0.05703068}
{file: Rasputin_Light_Combo_Part_2-29.png; posX: 1.596554; posY: -0.0530982}
{file: Rasputin_Light_Combo_Part_2-30.png; posX: 1.585378; posY: -0.04919577}
{file: Rasputin_Light_Combo_Part_2-31.png; posX: 1.577128; posY: -0.0453425}
{file: Rasputin_Light_Combo_Part_2-32.png; posX: 1.571158; posY: -0.04155773}
{file: Rasputin_Light_Combo_Part_2-33.png; posX: 1.566144; posY: -0.03786057}
{file: Rasputin_Light_Combo_Part_2-34.png; posX: 1.562034; posY: -0.03427023}
{file: Rasputin_Light_Combo_Part_2-35.png; posX: 1.558781; posY: -0.03080589}
{file: Rasputin_Light_Combo_Part_2-36.png; posX: 1.556335; posY: -0.02748674}
{file: Rasputin_Light_Combo_Part_2-37.png; posX: 1.554646; posY: -0.02433199}
{file: Rasputin_Light_Combo_Part_2-38.png; posX: 1.553664; posY: -0.02136081}
{file: Rasputin_Light_Combo_Part_2-39.png; posX: 1.553341; posY: -0.01859236}
{file: Rasputin_Light_Combo_Part_2-40.png; posX: 1.553627; posY: -0.01604593}
{file: Rasputin_Light_Combo_Part_2-41.png; posX: 1.554472; posY: -0.01374054}
{file: Rasputin_Light_Combo_Part_2-42.png; posX: 1.555827; posY: -0.01169556}
{file: Rasputin_Light_Combo_Part_2-43.png; posX: 1.557643; posY: -0.009930074}
{file: Rasputin_Light_Combo_Part_2-44.png; posX: 1.55987; posY: -0.008463323}
{file: Rasputin_Light_Combo_Part_2-45.png; posX: 1.562459; posY: -0.007314444}
{file: Rasputin_Light_Combo_Part_2-46.png; posX: 1.56536; posY: -0.006502628}
{file: Rasputin_Light_Combo_Part_2-47.png; posX: 1.568523; posY: -0.00604713}
{file: Rasputin_Light_Combo_Part_2-48.png; posX: 1.571901; posY: -0.005967081}
