{file: Rasputin_Special_2_Part_2-0.png; pivotX: 78.53359; pivotY: 347.5826}
{file: Rasputin_Special_2_Part_2-1.png; pivotX: 78.38039; pivotY: 347.5817}
{file: Rasputin_Special_2_Part_2-2.png; pivotX: 78.47428; pivotY: 347.5672}
{file: Rasputin_Special_2_Part_2-3.png; pivotX: 78.97916; pivotY: 346.5943}
{file: Rasputin_Special_2_Part_2-4.png; pivotX: 79.3203; pivotY: 346.5739}
{file: Rasputin_Special_2_Part_2-5.png; pivotX: 79.70885; pivotY: 346.5594}
{file: Rasputin_Special_2_Part_2-6.png; pivotX: 79.72227; pivotY: 346.5557}
{file: Rasputin_Special_2_Part_2-7.png; pivotX: 79.94989; pivotY: 345.6156}
{file: Rasputin_Special_2_Part_2-8.png; pivotX: 79.75343; pivotY: 345.6494}
{file: Rasputin_Special_2_Part_2-9.png; pivotX: 78.95132; pivotY: 345.7136}
{file: Rasputin_Special_2_Part_2-10.png; pivotX: 78.3554; pivotY: 345.7813}
{file: Rasputin_Special_2_Part_2-11.png; pivotX: 77.31839; pivotY: 347.8306}
{file: Rasputin_Special_2_Part_2-12.png; pivotX: 75.68659; pivotY: 348.9936}
{file: Rasputin_Special_2_Part_2-13.png; pivotX: 73.28579; pivotY: 350.2701}
{file: Rasputin_Special_2_Part_2-14.png; pivotX: 74.65945; pivotY: 350.7309}
{file: Rasputin_Special_2_Part_2-15.png; pivotX: 77.07112; pivotY: 350.3331}
{file: Rasputin_Special_2_Part_2-16.png; pivotX: 81.8102; pivotY: 347.6816}
{file: Rasputin_Special_2_Part_2-17.png; pivotX: 92.3657; pivotY: 344.7079}
{file: Rasputin_Special_2_Part_2-18.png; pivotX: 100.1129; pivotY: 342.7931}
{file: Rasputin_Special_2_Part_2-19.png; pivotX: 104.4006; pivotY: 341.8809}
{file: Rasputin_Special_2_Part_2-20.png; pivotX: 106.2393; pivotY: 341.0621}
{file: Rasputin_Special_2_Part_2-21.png; pivotX: 106.1888; pivotY: 342.107}
{file: Rasputin_Special_2_Part_2-22.png; pivotX: 104.5522; pivotY: 343.082}
{file: Rasputin_Special_2_Part_2-23.png; pivotX: 102.4865; pivotY: 344.0623}
{file: Rasputin_Special_2_Part_2-24.png; pivotX: 99.07683; pivotY: 344.99}
{file: Rasputin_Special_2_Part_2-25.png; pivotX: 93.92534; pivotY: 345.9083}
{file: Rasputin_Special_2_Part_2-26.png; pivotX: 87.40204; pivotY: 346.8132}
{file: Rasputin_Special_2_Part_2-27.png; pivotX: 81.51427; pivotY: 346.7032}
{file: Rasputin_Special_2_Part_2-28.png; pivotX: 77.19934; pivotY: 346.5356}
{file: Rasputin_Special_2_Part_2-29.png; pivotX: 72.42274; pivotY: 345.3575}
{file: Rasputin_Special_2_Part_2-30.png; pivotX: 68.31824; pivotY: 342.0461}
{file: Rasputin_Special_2_Part_2-31.png; pivotX: 63.55885; pivotY: 342.9115}
{file: Rasputin_Special_2_Part_2-32.png; pivotX: 61.26124; pivotY: 339.0355}
{file: Rasputin_Special_2_Part_2-33.png; pivotX: 64.17311; pivotY: 326.477}
{file: Rasputin_Special_2_Part_2-34.png; pivotX: 70.83431; pivotY: 303.9008}
{file: Rasputin_Special_2_Part_2-35.png; pivotX: 78.80525; pivotY: 283.966}
{file: Rasputin_Special_2_Part_2-36.png; pivotX: 89.12339; pivotY: 270.0483}
{file: Rasputin_Special_2_Part_2-37.png; pivotX: 96.71957; pivotY: 256.519}
{file: Rasputin_Special_2_Part_2-38.png; pivotX: 102.0836; pivotY: 244.4749}
{file: Rasputin_Special_2_Part_2-39.png; pivotX: 103.3227; pivotY: 234.5327}
{file: Rasputin_Special_2_Part_2-40.png; pivotX: 102.8393; pivotY: 224.5034}
{file: Rasputin_Special_2_Part_2-41.png; pivotX: 102.963; pivotY: 222.3016}
{file: Rasputin_Special_2_Part_2-42.png; pivotX: 103.8721; pivotY: 221.4013}
{file: Rasputin_Special_2_Part_2-43.png; pivotX: 104.6802; pivotY: 221.5224}
{file: Rasputin_Special_2_Part_2-44.png; pivotX: 104.9387; pivotY: 221.5573}
{file: Rasputin_Special_2_Part_2-45.png; pivotX: 105.3442; pivotY: 222.4036}
{file: Rasputin_Special_2_Part_2-46.png; pivotX: 105.0544; pivotY: 223.2385}
{file: Rasputin_Special_2_Part_2-47.png; pivotX: 105.027; pivotY: 225.0724}
{file: Rasputin_Special_2_Part_2-48.png; pivotX: 104.8083; pivotY: 227.9433}
{file: Rasputin_Special_2_Part_2-49.png; pivotX: 104.9321; pivotY: 230.9395}
{file: Rasputin_Special_2_Part_2-50.png; pivotX: 105.588; pivotY: 235.9458}
{file: Rasputin_Special_2_Part_2-51.png; pivotX: 106.503; pivotY: 241.1403}
{file: Rasputin_Special_2_Part_2-52.png; pivotX: 107.6926; pivotY: 246.3672}
{file: Rasputin_Special_2_Part_2-53.png; pivotX: 108.3624; pivotY: 251.3301}
{file: Rasputin_Special_2_Part_2-54.png; pivotX: 109.0733; pivotY: 258.1898}
{file: Rasputin_Special_2_Part_2-55.png; pivotX: 109.3489; pivotY: 265.1865}
{file: Rasputin_Special_2_Part_2-56.png; pivotX: 109.7682; pivotY: 273.1104}
{file: Rasputin_Special_2_Part_2-57.png; pivotX: 109.4994; pivotY: 281.1127}
{file: Rasputin_Special_2_Part_2-58.png; pivotX: 108.5858; pivotY: 289.1744}
{file: Rasputin_Special_2_Part_2-59.png; pivotX: 106.9862; pivotY: 296.2332}
{file: Rasputin_Special_2_Part_2-60.png; pivotX: 103.3728; pivotY: 303.2244}
{file: Rasputin_Special_2_Part_2-61.png; pivotX: 99.37308; pivotY: 309.3006}
{file: Rasputin_Special_2_Part_2-62.png; pivotX: 94.78384; pivotY: 313.4786}
{file: Rasputin_Special_2_Part_2-63.png; pivotX: 90.01813; pivotY: 317.58}
{file: Rasputin_Special_2_Part_2-64.png; pivotX: 84.17251; pivotY: 320.594}
{file: Rasputin_Special_2_Part_2-65.png; pivotX: 78.42675; pivotY: 322.644}
{file: Rasputin_Special_2_Part_2-66.png; pivotX: 73.84573; pivotY: 323.7876}
{file: Rasputin_Special_2_Part_2-67.png; pivotX: 74.62447; pivotY: 324.8345}
{file: Rasputin_Special_2_Part_2-68.png; pivotX: 75.00261; pivotY: 326.8537}
{file: Rasputin_Special_2_Part_2-69.png; pivotX: 74.25585; pivotY: 327.9226}
{file: Rasputin_Special_2_Part_2-70.png; pivotX: 74.9283; pivotY: 328.0221}
{file: Rasputin_Special_2_Part_2-71.png; pivotX: 78.3092; pivotY: 328.9856}
{file: Rasputin_Special_2_Part_2-72.png; pivotX: 81.07944; pivotY: 328.7954}
{file: Rasputin_Special_2_Part_2-73.png; pivotX: 84.29195; pivotY: 329.5204}
{file: Rasputin_Special_2_Part_2-74.png; pivotX: 87.60577; pivotY: 331.1772}
{file: Rasputin_Special_2_Part_2-75.png; pivotX: 91.07678; pivotY: 332.9405}
{file: Rasputin_Special_2_Part_2-76.png; pivotX: 94.1563; pivotY: 339.0812}
{file: Rasputin_Special_2_Part_2-77.png; pivotX: 97.51844; pivotY: 355.2982}
{file: Rasputin_Special_2_Part_2-78.png; pivotX: 101.2724; pivotY: 371.8874}
{file: Rasputin_Special_2_Part_2-79.png; pivotX: 103.6908; pivotY: 384.7099}
{file: Rasputin_Special_2_Part_2-80.png; pivotX: 106.3524; pivotY: 392.7637}
{file: Rasputin_Special_2_Part_2-81.png; pivotX: 109.2503; pivotY: 397.7052}
{file: Rasputin_Special_2_Part_2-82.png; pivotX: 110.6823; pivotY: 398.6036}
{file: Rasputin_Special_2_Part_2-83.png; pivotX: 108.2055; pivotY: 395.3539}
{file: Rasputin_Special_2_Part_2-84.png; pivotX: 102.0555; pivotY: 388.4153}
{file: Rasputin_Special_2_Part_2-85.png; pivotX: 79.11037; pivotY: 377.6306}
{file: Rasputin_Special_2_Part_2-86.png; pivotX: 63.11155; pivotY: 365.8401}
{file: Rasputin_Special_2_Part_2-87.png; pivotX: 64.19986; pivotY: 351.0444}
{file: Rasputin_Special_2_Part_2-88.png; pivotX: 66.77404; pivotY: 335.7353}
{file: Rasputin_Special_2_Part_2-89.png; pivotX: 92.72611; pivotY: 321.2628}
{file: Rasputin_Special_2_Part_2-90.png; pivotX: 134.1751; pivotY: 306.043}
{file: Rasputin_Special_2_Part_2-91.png; pivotX: 156.4525; pivotY: 283.8924}
{file: Rasputin_Special_2_Part_2-92.png; pivotX: 171.1566; pivotY: 251.3237}
{file: Rasputin_Special_2_Part_2-93.png; pivotX: 183.9687; pivotY: 239.9897}
{file: Rasputin_Special_2_Part_2-94.png; pivotX: 192.468; pivotY: 231.5522}
{file: Rasputin_Special_2_Part_2-95.png; pivotX: 191.452; pivotY: 228.386}
{file: Rasputin_Special_2_Part_2-96.png; pivotX: 179.315; pivotY: 234.8359}
{file: Rasputin_Special_2_Part_2-97.png; pivotX: 167.1143; pivotY: 258.0148}
{file: Rasputin_Special_2_Part_2-98.png; pivotX: 162.7931; pivotY: 294.1058}
{file: Rasputin_Special_2_Part_2-99.png; pivotX: 186.1566; pivotY: 330.5901}
{file: Rasputin_Special_2_Part_2-100.png; pivotX: 209.7631; pivotY: 366.7939}
{file: Rasputin_Special_2_Part_2-101.png; pivotX: 215.6133; pivotY: 390.027}
{file: Rasputin_Special_2_Part_2-102.png; pivotX: 208.6093; pivotY: 404.526}
{file: Rasputin_Special_2_Part_2-103.png; pivotX: 210.5029; pivotY: 409.1006}
{file: Rasputin_Special_2_Part_2-104.png; pivotX: 230.1956; pivotY: 405.6461}
{file: Rasputin_Special_2_Part_2-105.png; pivotX: 253.8193; pivotY: 392.6218}
{file: Rasputin_Special_2_Part_2-106.png; pivotX: 261.7247; pivotY: 397.9303}
{file: Rasputin_Special_2_Part_2-107.png; pivotX: 252.4023; pivotY: 419.4197}
{file: Rasputin_Special_2_Part_2-108.png; pivotX: 247.346; pivotY: 439.1594}
{file: Rasputin_Special_2_Part_2-109.png; pivotX: 281.3195; pivotY: 467.8583}
{file: Rasputin_Special_2_Part_2-110.png; pivotX: 286.6562; pivotY: 488.3853}
{file: Rasputin_Special_2_Part_2-111.png; pivotX: 247.9567; pivotY: 520.6779}
{file: Rasputin_Special_2_Part_2-112.png; pivotX: 188.0177; pivotY: 557.0926}
{file: Rasputin_Special_2_Part_2-113.png; pivotX: 151.9616; pivotY: 562.6678}
{file: Rasputin_Special_2_Part_2-114.png; pivotX: 120.6146; pivotY: 554.1897}
{file: Rasputin_Special_2_Part_2-115.png; pivotX: 96.95659; pivotY: 654.8879}
{file: Rasputin_Special_2_Part_2-116.png; pivotX: 105.3929; pivotY: 521.0751}
{file: Rasputin_Special_2_Part_2-117.png; pivotX: 119.6646; pivotY: 521.958}
{file: Rasputin_Special_2_Part_2-118.png; pivotX: 153.0741; pivotY: 533.3354}
{file: Rasputin_Special_2_Part_2-119.png; pivotX: 173.9923; pivotY: 546.7066}
{file: Rasputin_Special_2_Part_2-120.png; pivotX: 144.5619; pivotY: 567.0107}
{file: Rasputin_Special_2_Part_2-121.png; pivotX: 147.0383; pivotY: 575.2731}
{file: Rasputin_Special_2_Part_2-122.png; pivotX: 175.3313; pivotY: 550.7078}
{file: Rasputin_Special_2_Part_2-123.png; pivotX: 228.1825; pivotY: 522.3393}
{file: Rasputin_Special_2_Part_2-124.png; pivotX: 264.1843; pivotY: 529.0316}
{file: Rasputin_Special_2_Part_2-125.png; pivotX: 269.2263; pivotY: 534.4714}
{file: Rasputin_Special_2_Part_2-126.png; pivotX: 272.2721; pivotY: 537.3131}
{file: Rasputin_Special_2_Part_2-127.png; pivotX: 329.5264; pivotY: 539.1838}
{file: Rasputin_Special_2_Part_2-128.png; pivotX: 341.3803; pivotY: 543.7439}
{file: Rasputin_Special_2_Part_2-129.png; pivotX: 265.9521; pivotY: 546.2556}
{file: Rasputin_Special_2_Part_2-130.png; pivotX: 122.328; pivotY: 573.1558}
{file: Rasputin_Special_2_Part_2-131.png; pivotX: 85.12059; pivotY: 562.0964}
{file: Rasputin_Special_2_Part_2-132.png; pivotX: 93.18374; pivotY: 535.8398}
{file: Rasputin_Special_2_Part_2-133.png; pivotX: 115.99; pivotY: 508.9936}
{file: Rasputin_Special_2_Part_2-134.png; pivotX: 111.1566; pivotY: 467.3842}
{file: Rasputin_Special_2_Part_2-135.png; pivotX: 99.1262; pivotY: 467.5532}
{file: Rasputin_Special_2_Part_2-136.png; pivotX: 139.7771; pivotY: 462.4684}
{file: Rasputin_Special_2_Part_2-137.png; pivotX: 211.1969; pivotY: 457.7599}
{file: Rasputin_Special_2_Part_2-138.png; pivotX: 199.1633; pivotY: 456.1323}
{file: Rasputin_Special_2_Part_2-139.png; pivotX: 150.5154; pivotY: 453.7899}
{file: Rasputin_Special_2_Part_2-140.png; pivotX: 97.1784; pivotY: 467.1956}
{file: Rasputin_Special_2_Part_2-141.png; pivotX: 100.1955; pivotY: 484.697}
{file: Rasputin_Special_2_Part_2-142.png; pivotX: 103.5806; pivotY: 505.6789}
{file: Rasputin_Special_2_Part_2-143.png; pivotX: 109.2853; pivotY: 524.3336}
{file: Rasputin_Special_2_Part_2-144.png; pivotX: 114.7777; pivotY: 524.481}
