{file: Rasputin_Light_Combo_Part_4-0.png; pivotX: 83.05117; pivotY: 394.9492}
{file: Rasputin_Light_Combo_Part_4-1.png; pivotX: 63.45979; pivotY: 392.4791}
{file: Rasputin_Light_Combo_Part_4-2.png; pivotX: 61.56368; pivotY: 391.9027}
{file: Rasputin_Light_Combo_Part_4-3.png; pivotX: 88.83198; pivotY: 384.9966}
{file: Rasputin_Light_Combo_Part_4-4.png; pivotX: 107.521; pivotY: 360.8429}
{file: Rasputin_Light_Combo_Part_4-5.png; pivotX: 115.9052; pivotY: 328.1379}
{file: Rasputin_Light_Combo_Part_4-6.png; pivotX: 120.938; pivotY: 348.8561}
{file: Rasputin_Light_Combo_Part_4-7.png; pivotX: 119.3791; pivotY: 377.2156}
{file: Rasputin_Light_Combo_Part_4-8.png; pivotX: 110.3045; pivotY: 397.2608}
{file: Rasputin_Light_Combo_Part_4-9.png; pivotX: 102.1426; pivotY: 414.7113}
{file: Rasputin_Light_Combo_Part_4-10.png; pivotX: 115.9077; pivotY: 425.4156}
{file: Rasputin_Light_Combo_Part_4-11.png; pivotX: 127.1105; pivotY: 426.383}
{file: Rasputin_Light_Combo_Part_4-12.png; pivotX: 136.7122; pivotY: 414.4068}
{file: Rasputin_Light_Combo_Part_4-13.png; pivotX: 143.8478; pivotY: 391.1587}
{file: Rasputin_Light_Combo_Part_4-14.png; pivotX: 149.7009; pivotY: 359.3773}
{file: Rasputin_Light_Combo_Part_4-15.png; pivotX: 152.8616; pivotY: 358.7044}
{file: Rasputin_Light_Combo_Part_4-16.png; pivotX: 156.8493; pivotY: 356.4596}
{file: Rasputin_Light_Combo_Part_4-17.png; pivotX: 162.3512; pivotY: 352.6906}
{file: Rasputin_Light_Combo_Part_4-18.png; pivotX: 164.3364; pivotY: 346.8161}
{file: Rasputin_Light_Combo_Part_4-19.png; pivotX: 155.5181; pivotY: 342.9943}
{file: Rasputin_Light_Combo_Part_4-20.png; pivotX: 171.2227; pivotY: 334.2661}
{file: Rasputin_Light_Combo_Part_4-21.png; pivotX: 205.3058; pivotY: 363.3254}
{file: Rasputin_Light_Combo_Part_4-22.png; pivotX: 110.5025; pivotY: 380.9847}
{file: Rasputin_Light_Combo_Part_4-23.png; pivotX: 126.2382; pivotY: 284.4851}
{file: Rasputin_Light_Combo_Part_4-24.png; pivotX: 121.7503; pivotY: 347.5994}
{file: Rasputin_Light_Combo_Part_4-25.png; pivotX: 139.9453; pivotY: 306.8108}
{file: Rasputin_Light_Combo_Part_4-26.png; pivotX: 153.1123; pivotY: 304.6793}
{file: Rasputin_Light_Combo_Part_4-27.png; pivotX: 120.2217; pivotY: 328.8555}
{file: Rasputin_Light_Combo_Part_4-28.png; pivotX: 120.4439; pivotY: 334.0476}
{file: Rasputin_Light_Combo_Part_4-29.png; pivotX: 121.9646; pivotY: 338.2139}
{file: Rasputin_Light_Combo_Part_4-30.png; pivotX: 124.3564; pivotY: 342.288}
{file: Rasputin_Light_Combo_Part_4-31.png; pivotX: 126.7459; pivotY: 347.6543}
{file: Rasputin_Light_Combo_Part_4-32.png; pivotX: 129.375; pivotY: 352.1918}
{file: Rasputin_Light_Combo_Part_4-33.png; pivotX: 130.5457; pivotY: 357.4448}
{file: Rasputin_Light_Combo_Part_4-34.png; pivotX: 131.3025; pivotY: 362.5965}
{file: Rasputin_Light_Combo_Part_4-35.png; pivotX: 131.381; pivotY: 367.7439}
{file: Rasputin_Light_Combo_Part_4-36.png; pivotX: 131.1263; pivotY: 373.0383}
{file: Rasputin_Light_Combo_Part_4-37.png; pivotX: 130.4506; pivotY: 378.4209}
{file: Rasputin_Light_Combo_Part_4-38.png; pivotX: 129.667; pivotY: 383.6978}
{file: Rasputin_Light_Combo_Part_4-39.png; pivotX: 127.9762; pivotY: 386.8893}
{file: Rasputin_Light_Combo_Part_4-40.png; pivotX: 126.2951; pivotY: 389.8157}
{file: Rasputin_Light_Combo_Part_4-41.png; pivotX: 124.2917; pivotY: 390.7499}
{file: Rasputin_Light_Combo_Part_4-42.png; pivotX: 123.403; pivotY: 390.6846}
{file: Rasputin_Light_Combo_Part_4-43.png; pivotX: 125.466; pivotY: 389.1189}
{file: Rasputin_Light_Combo_Part_4-44.png; pivotX: 124.0859; pivotY: 384.5349}
{file: Rasputin_Light_Combo_Part_4-45.png; pivotX: 121.0101; pivotY: 376.223}
{file: Rasputin_Light_Combo_Part_4-46.png; pivotX: 115.4663; pivotY: 354.4513}
{file: Rasputin_Light_Combo_Part_4-47.png; pivotX: 110.5811; pivotY: 329.1534}
{file: Rasputin_Light_Combo_Part_4-48.png; pivotX: 110.0649; pivotY: 310.1258}
{file: Rasputin_Light_Combo_Part_4-49.png; pivotX: 111.1339; pivotY: 304.9793}
{file: Rasputin_Light_Combo_Part_4-50.png; pivotX: 108.805; pivotY: 326.9314}
{file: Rasputin_Light_Combo_Part_4-51.png; pivotX: 104.9879; pivotY: 357.0957}
{file: Rasputin_Light_Combo_Part_4-52.png; pivotX: 100.9783; pivotY: 381.276}
{file: Rasputin_Light_Combo_Part_4-53.png; pivotX: 97.26807; pivotY: 404.3762}
{file: Rasputin_Light_Combo_Part_4-54.png; pivotX: 94.49562; pivotY: 428.4329}
{file: Rasputin_Light_Combo_Part_4-55.png; pivotX: 102.5959; pivotY: 460.5274}
{file: Rasputin_Light_Combo_Part_4-56.png; pivotX: 107.8848; pivotY: 433.6053}
{file: Rasputin_Light_Combo_Part_4-57.png; pivotX: 111.0534; pivotY: 380.6255}
{file: Rasputin_Light_Combo_Part_4-58.png; pivotX: 113.7049; pivotY: 325.6468}
{file: Rasputin_Light_Combo_Part_4-59.png; pivotX: 119.953; pivotY: 323.597}
{file: Rasputin_Light_Combo_Part_4-60.png; pivotX: 118.6082; pivotY: 322.6405}
{file: Rasputin_Light_Combo_Part_4-61.png; pivotX: 117.1532; pivotY: 321.722}
{file: Rasputin_Light_Combo_Part_4-62.png; pivotX: 116.8913; pivotY: 320.7743}
{file: Rasputin_Light_Combo_Part_4-63.png; pivotX: 117.1144; pivotY: 319.8237}
{file: Rasputin_Light_Combo_Part_4-64.png; pivotX: 117.7931; pivotY: 318.9008}
{file: Rasputin_Light_Combo_Part_4-65.png; pivotX: 120.8715; pivotY: 318.8468}
{file: Rasputin_Light_Combo_Part_4-66.png; pivotX: 125.0956; pivotY: 318.8974}
{file: Rasputin_Light_Combo_Part_4-67.png; pivotX: 128.9719; pivotY: 319.2307}
{file: Rasputin_Light_Combo_Part_4-68.png; pivotX: 133.1621; pivotY: 319.4099}
{file: Rasputin_Light_Combo_Part_4-69.png; pivotX: 137.7341; pivotY: 318.4081}
{file: Rasputin_Light_Combo_Part_4-70.png; pivotX: 138.9511; pivotY: 318.4633}
{file: Rasputin_Light_Combo_Part_4-71.png; pivotX: 136.8732; pivotY: 317.7203}
{file: Rasputin_Light_Combo_Part_4-72.png; pivotX: 128.9565; pivotY: 316.8344}
{file: Rasputin_Light_Combo_Part_4-73.png; pivotX: 114.8681; pivotY: 316.7159}
{file: Rasputin_Light_Combo_Part_4-74.png; pivotX: 102.5335; pivotY: 315.6633}
{file: Rasputin_Light_Combo_Part_4-75.png; pivotX: 106.767; pivotY: 314.8251}
{file: Rasputin_Light_Combo_Part_4-76.png; pivotX: 111.9171; pivotY: 314.7479}
{file: Rasputin_Light_Combo_Part_4-77.png; pivotX: 114.2247; pivotY: 314.7051}
{file: Rasputin_Light_Combo_Part_4-78.png; pivotX: 113.2937; pivotY: 314.8911}
{file: Rasputin_Light_Combo_Part_4-79.png; pivotX: 109.334; pivotY: 315.2384}
{file: Rasputin_Light_Combo_Part_4-80.png; pivotX: 105.6776; pivotY: 315.0246}
{file: Rasputin_Light_Combo_Part_4-81.png; pivotX: 103.7399; pivotY: 315.0631}
{file: Rasputin_Light_Combo_Part_4-82.png; pivotX: 103.3142; pivotY: 315.2145}
{file: Rasputin_Light_Combo_Part_4-83.png; pivotX: 103.2056; pivotY: 315.7111}
{file: Rasputin_Light_Combo_Part_4-84.png; pivotX: 103.1133; pivotY: 315.4151}
{file: Rasputin_Light_Combo_Part_4-85.png; pivotX: 102.2217; pivotY: 316.5657}
{file: Rasputin_Light_Combo_Part_4-86.png; pivotX: 100.8504; pivotY: 317.7223}
{file: Rasputin_Light_Combo_Part_4-87.png; pivotX: 99.48878; pivotY: 318.8427}
{file: Rasputin_Light_Combo_Part_4-88.png; pivotX: 98.33089; pivotY: 319.8954}
{file: Rasputin_Light_Combo_Part_4-89.png; pivotX: 97.76747; pivotY: 319.8929}
{file: Rasputin_Light_Combo_Part_4-90.png; pivotX: 97.26669; pivotY: 320.8336}
{file: Rasputin_Light_Combo_Part_4-91.png; pivotX: 96.96953; pivotY: 320.9355}
{file: Rasputin_Light_Combo_Part_4-92.png; pivotX: 96.77137; pivotY: 320.9922}
