{file: Rasputin_Light_Combo_Part_3-0.png; pivotX: 234.9475; pivotY: 306.0365}
{file: Rasputin_Light_Combo_Part_3-1.png; pivotX: 236.3442; pivotY: 309.082}
{file: Rasputin_Light_Combo_Part_3-2.png; pivotX: 216.6489; pivotY: 323.6809}
{file: Rasputin_Light_Combo_Part_3-3.png; pivotX: 179.9466; pivotY: 356.4191}
{file: Rasputin_Light_Combo_Part_3-4.png; pivotX: 131.2053; pivotY: 373.3309}
{file: Rasputin_Light_Combo_Part_3-5.png; pivotX: 107.8242; pivotY: 380.2011}
{file: Rasputin_Light_Combo_Part_3-6.png; pivotX: 109.0711; pivotY: 387.2383}
{file: Rasputin_Light_Combo_Part_3-7.png; pivotX: 110.8349; pivotY: 390.4016}
{file: Rasputin_Light_Combo_Part_3-8.png; pivotX: 113.4066; pivotY: 394.7267}
{file: Rasputin_Light_Combo_Part_3-9.png; pivotX: 116.359; pivotY: 394.6864}
{file: Rasputin_Light_Combo_Part_3-10.png; pivotX: 118.2233; pivotY: 379.1026}
{file: Rasputin_Light_Combo_Part_3-11.png; pivotX: 120.5283; pivotY: 384.6647}
{file: Rasputin_Light_Combo_Part_3-12.png; pivotX: 162.8341; pivotY: 442.4216}
{file: Rasputin_Light_Combo_Part_3-13.png; pivotX: 131.6121; pivotY: 401.9448}
{file: Rasputin_Light_Combo_Part_3-14.png; pivotX: 134.2516; pivotY: 363.5093}
{file: Rasputin_Light_Combo_Part_3-15.png; pivotX: 134.0689; pivotY: 282.726}
{file: Rasputin_Light_Combo_Part_3-16.png; pivotX: 135.1295; pivotY: 314.7283}
{file: Rasputin_Light_Combo_Part_3-17.png; pivotX: 137.3013; pivotY: 371.1356}
{file: Rasputin_Light_Combo_Part_3-18.png; pivotX: 138.2425; pivotY: 390.9651}
{file: Rasputin_Light_Combo_Part_3-19.png; pivotX: 139.1245; pivotY: 402.9807}
{file: Rasputin_Light_Combo_Part_3-20.png; pivotX: 139.4412; pivotY: 407.899}
