{file: Devana_Special_2_Part_2-0.png; pivotX: 139.5733; pivotY: 235.0004}
{file: Devana_Special_2_Part_2-1.png; pivotX: 104.2303; pivotY: 260.2047}
{file: Devana_Special_2_Part_2-2.png; pivotX: 103.2763; pivotY: 284.1802}
{file: Devana_Special_2_Part_2-3.png; pivotX: 82.88476; pivotY: 303.0999}
{file: Devana_Special_2_Part_2-4.png; pivotX: 82.97044; pivotY: 314.6002}
{file: Devana_Special_2_Part_2-5.png; pivotX: 78.62291; pivotY: 318.8654}
{file: Devana_Special_2_Part_2-6.png; pivotX: 75.61317; pivotY: 320.9759}
{file: Devana_Special_2_Part_2-7.png; pivotX: 92.52596; pivotY: 331.8564}
{file: Devana_Special_2_Part_2-8.png; pivotX: 92.50694; pivotY: 327.432}
{file: Devana_Special_2_Part_2-9.png; pivotX: 90.56189; pivotY: 308.8131}
{file: Devana_Special_2_Part_2-10.png; pivotX: 93.37751; pivotY: 299.542}
{file: Devana_Special_2_Part_2-11.png; pivotX: 99.7569; pivotY: 291.9087}
{file: Devana_Special_2_Part_2-12.png; pivotX: 106.0615; pivotY: 288.8043}
{file: Devana_Special_2_Part_2-13.png; pivotX: 112.0236; pivotY: 287.1249}
{file: Devana_Special_2_Part_2-14.png; pivotX: 115.9169; pivotY: 286.753}
{file: Devana_Special_2_Part_2-15.png; pivotX: 118.0363; pivotY: 286.6508}
{file: Devana_Special_2_Part_2-16.png; pivotX: 120.083; pivotY: 287.4314}
{file: Devana_Special_2_Part_2-17.png; pivotX: 121.1991; pivotY: 287.3248}
{file: Devana_Special_2_Part_2-18.png; pivotX: 121.2789; pivotY: 287.1073}
{file: Devana_Special_2_Part_2-19.png; pivotX: 120.695; pivotY: 287.0029}
{file: Devana_Special_2_Part_2-20.png; pivotX: 119.8325; pivotY: 287.0425}
{file: Devana_Special_2_Part_2-21.png; pivotX: 119.0681; pivotY: 287.9901}
{file: Devana_Special_2_Part_2-22.png; pivotX: 118.4869; pivotY: 287.9323}
{file: Devana_Special_2_Part_2-23.png; pivotX: 118.1843; pivotY: 287.8965}
{file: Devana_Special_2_Part_2-24.png; pivotX: 118.14; pivotY: 287.8871}
{file: Devana_Special_2_Part_2-25.png; pivotX: 118.2122; pivotY: 288.8598}
{file: Devana_Special_2_Part_2-26.png; pivotX: 118.257; pivotY: 288.8853}
{file: Devana_Special_2_Part_2-27.png; pivotX: 118.3679; pivotY: 289.877}
{file: Devana_Special_2_Part_2-28.png; pivotX: 118.5025; pivotY: 289.9092}
{file: Devana_Special_2_Part_2-29.png; pivotX: 118.7632; pivotY: 290.8963}
{file: Devana_Special_2_Part_2-30.png; pivotX: 119.1345; pivotY: 291.8749}
{file: Devana_Special_2_Part_2-31.png; pivotX: 119.5985; pivotY: 291.8846}
{file: Devana_Special_2_Part_2-32.png; pivotX: 120.2667; pivotY: 292.8499}
{file: Devana_Special_2_Part_2-33.png; pivotX: 121.1225; pivotY: 292.9441}
{file: Devana_Special_2_Part_2-34.png; pivotX: 122.3084; pivotY: 294.1146}
{file: Devana_Special_2_Part_2-35.png; pivotX: 123.4268; pivotY: 294.375}
{file: Devana_Special_2_Part_2-36.png; pivotX: 123.9576; pivotY: 295.6164}
{file: Devana_Special_2_Part_2-37.png; pivotX: 123.7862; pivotY: 295.8571}
{file: Devana_Special_2_Part_2-38.png; pivotX: 123.5721; pivotY: 296.0161}
{file: Devana_Special_2_Part_2-39.png; pivotX: 123.2518; pivotY: 295.1151}
{file: Devana_Special_2_Part_2-40.png; pivotX: 122.0773; pivotY: 295.1001}
{file: Devana_Special_2_Part_2-41.png; pivotX: 120.7815; pivotY: 294.1433}
{file: Devana_Special_2_Part_2-42.png; pivotX: 117.0557; pivotY: 294.2411}
{file: Devana_Special_2_Part_2-43.png; pivotX: 112.1396; pivotY: 295.307}
{file: Devana_Special_2_Part_2-44.png; pivotX: 102.9272; pivotY: 296.1848}
{file: Devana_Special_2_Part_2-45.png; pivotX: 100.1332; pivotY: 298.0622}
{file: Devana_Special_2_Part_2-46.png; pivotX: 96.89285; pivotY: 299.0097}
{file: Devana_Special_2_Part_2-47.png; pivotX: 94.1731; pivotY: 301.0138}
{file: Devana_Special_2_Part_2-48.png; pivotX: 88.56224; pivotY: 303.937}
{file: Devana_Special_2_Part_2-49.png; pivotX: 81.73843; pivotY: 306.9435}
{file: Devana_Special_2_Part_2-50.png; pivotX: 73.74238; pivotY: 310.0128}
{file: Devana_Special_2_Part_2-51.png; pivotX: 65.31816; pivotY: 312.1623}
{file: Devana_Special_2_Part_2-52.png; pivotX: 56.90232; pivotY: 315.3012}
{file: Devana_Special_2_Part_2-53.png; pivotX: 49.11431; pivotY: 317.4787}
{file: Devana_Special_2_Part_2-54.png; pivotX: 45.80412; pivotY: 318.5988}
{file: Devana_Special_2_Part_2-55.png; pivotX: 51.75511; pivotY: 320.4519}
{file: Devana_Special_2_Part_2-56.png; pivotX: 57.04116; pivotY: 321.3188}
{file: Devana_Special_2_Part_2-57.png; pivotX: 63.00434; pivotY: 322.2006}
{file: Devana_Special_2_Part_2-58.png; pivotX: 68.84888; pivotY: 323.0799}
{file: Devana_Special_2_Part_2-59.png; pivotX: 74.00081; pivotY: 323.013}
{file: Devana_Special_2_Part_2-60.png; pivotX: 78.9583; pivotY: 323.9559}
{file: Devana_Special_2_Part_2-61.png; pivotX: 83.22382; pivotY: 323.984}
{file: Devana_Special_2_Part_2-62.png; pivotX: 86.75035; pivotY: 324.0293}
{file: Devana_Special_2_Part_2-63.png; pivotX: 89.72204; pivotY: 324.024}
{file: Devana_Special_2_Part_2-64.png; pivotX: 91.55518; pivotY: 323.9565}
{file: Devana_Special_2_Part_2-65.png; pivotX: 93.24532; pivotY: 323.8672}
{file: Devana_Special_2_Part_2-66.png; pivotX: 93.81847; pivotY: 323.7417}
{file: Devana_Special_2_Part_2-67.png; pivotX: 94.02425; pivotY: 323.5662}
{file: Devana_Special_2_Part_2-68.png; pivotX: 93.31566; pivotY: 323.4283}
{file: Devana_Special_2_Part_2-69.png; pivotX: 93.02363; pivotY: 323.4081}
{file: Devana_Special_2_Part_2-70.png; pivotX: 92.83507; pivotY: 323.4631}
{file: Devana_Special_2_Part_2-71.png; pivotX: 93.15225; pivotY: 323.4785}
{file: Devana_Special_2_Part_2-72.png; pivotX: 93.04513; pivotY: 322.4921}
{file: Devana_Special_2_Part_2-73.png; pivotX: 93.47052; pivotY: 321.5544}
{file: Devana_Special_2_Part_2-74.png; pivotX: 93.69364; pivotY: 320.6648}
{file: Devana_Special_2_Part_2-75.png; pivotX: 93.42972; pivotY: 319.7951}
{file: Devana_Special_2_Part_2-76.png; pivotX: 92.97186; pivotY: 318.9007}
{file: Devana_Special_2_Part_2-77.png; pivotX: 92.49635; pivotY: 317.9275}
{file: Devana_Special_2_Part_2-78.png; pivotX: 92.16341; pivotY: 315.9033}
{file: Devana_Special_2_Part_2-79.png; pivotX: 91.93166; pivotY: 314.8182}
{file: Devana_Special_2_Part_2-80.png; pivotX: 91.76826; pivotY: 313.7588}
{file: Devana_Special_2_Part_2-81.png; pivotX: 91.70405; pivotY: 312.8022}
{file: Devana_Special_2_Part_2-82.png; pivotX: 91.67282; pivotY: 312.0055}
{file: Devana_Special_2_Part_2-83.png; pivotX: 92.10345; pivotY: 311.2196}
{file: Devana_Special_2_Part_2-84.png; pivotX: 92.0217; pivotY: 311.2581}
{file: Devana_Special_2_Part_2-85.png; pivotX: 91.91167; pivotY: 310.2468}
{file: Devana_Special_2_Part_2-86.png; pivotX: 92.23828; pivotY: 309.3003}
{file: Devana_Special_2_Part_2-87.png; pivotX: 91.9752; pivotY: 309.2428}
{file: Devana_Special_2_Part_2-88.png; pivotX: 91.69239; pivotY: 309.1368}
{file: Devana_Special_2_Part_2-89.png; pivotX: 91.50111; pivotY: 308.0358}
{file: Devana_Special_2_Part_2-90.png; pivotX: 91.39552; pivotY: 307.9157}
{file: Devana_Special_2_Part_2-91.png; pivotX: 91.3586; pivotY: 307.8572}
