{file: Devana_Special_2_Part_2-0.png; posX: 1.36652; posY: 0}
{file: Devana_Special_2_Part_2-1.png; posX: 1.363367; posY: 0.005624354}
{file: Devana_Special_2_Part_2-2.png; posX: 1.360643; posY: 0.01128209}
{file: Devana_Special_2_Part_2-3.png; posX: 1.36472; posY: 0.01664966}
{file: Devana_Special_2_Part_2-4.png; posX: 1.381973; posY: 0.02140379}
{file: Devana_Special_2_Part_2-5.png; posX: 1.418775; posY: 0.02522105}
{file: Devana_Special_2_Part_2-6.png; posX: 1.477122; posY: 0.02777809}
{file: Devana_Special_2_Part_2-7.png; posX: 1.546948; posY: 0.02875137}
{file: Devana_Special_2_Part_2-8.png; posX: 1.616531; posY: 0.02828217}
{file: Devana_Special_2_Part_2-9.png; posX: 1.682663; posY: 0.02641648}
{file: Devana_Special_2_Part_2-10.png; posX: 1.747583; posY: 0.02268845}
{file: Devana_Special_2_Part_2-11.png; posX: 1.807738; posY: 0.0166322}
{file: Devana_Special_2_Part_2-12.png; posX: 1.859575; posY: 0.007781744}
{file: Devana_Special_2_Part_2-13.png; posX: 1.899542; posY: -0.001506925}
{file: Devana_Special_2_Part_2-14.png; posX: 1.924086; posY: -0.008702874}
{file: Devana_Special_2_Part_2-15.png; posX: 1.937146; posY: -0.01400983}
{file: Devana_Special_2_Part_2-16.png; posX: 1.945564; posY: -0.01763165}
{file: Devana_Special_2_Part_2-17.png; posX: 1.950146; posY: -0.01977187}
{file: Devana_Special_2_Part_2-18.png; posX: 1.951694; posY: -0.02063423}
{file: Devana_Special_2_Part_2-19.png; posX: 1.951016; posY: -0.02042252}
{file: Devana_Special_2_Part_2-20.png; posX: 1.948914; posY: -0.01934034}
{file: Devana_Special_2_Part_2-21.png; posX: 1.946195; posY: -0.01759148}
{file: Devana_Special_2_Part_2-22.png; posX: 1.943662; posY: -0.01537955}
{file: Devana_Special_2_Part_2-23.png; posX: 1.94212; posY: -0.0129084}
{file: Devana_Special_2_Part_2-24.png; posX: 1.94133; posY: -0.01038158}
{file: Devana_Special_2_Part_2-25.png; posX: 1.940593; posY: -0.008002877}
{file: Devana_Special_2_Part_2-26.png; posX: 1.940029; posY: -0.005976021}
{file: Devana_Special_2_Part_2-27.png; posX: 1.939757; posY: -0.004330039}
