{file: Devana_Light_Combo_Part_2-0.png; posX: 0.4509037; posY: 0}
{file: Devana_Light_Combo_Part_2-1.png; posX: 0.4459201; posY: 0.0005809069}
{file: Devana_Light_Combo_Part_2-2.png; posX: 0.4390036; posY: -0.0004524589}
{file: Devana_Light_Combo_Part_2-3.png; posX: 0.4293144; posY: -0.002012372}
{file: Devana_Light_Combo_Part_2-4.png; posX: 0.4160124; posY: -0.003011048}
{file: Devana_Light_Combo_Part_2-5.png; posX: 0.3982575; posY: -0.002360582}
{file: Devana_Light_Combo_Part_2-6.png; posX: 0.3752099; posY: 0.003471911}
{file: Devana_Light_Combo_Part_2-7.png; posX: 0.3460294; posY: 0.01571435}
{file: Devana_Light_Combo_Part_2-8.png; posX: 0.3109244; posY: 0.03199703}
{file: Devana_Light_Combo_Part_2-9.png; posX: 0.2733851; posY: 0.0499503}
{file: Devana_Light_Combo_Part_2-10.png; posX: 0.2374938; posY: 0.06720448}
{file: Devana_Light_Combo_Part_2-11.png; posX: 0.207333; posY: 0.08138984}
{file: Devana_Light_Combo_Part_2-12.png; posX: 0.1860204; posY: 0.09013677}
{file: Devana_Light_Combo_Part_2-13.png; posX: 0.179964; posY: 0.09107554}
{file: Devana_Light_Combo_Part_2-14.png; posX: 0.1860294; posY: 0.08400816}
{file: Devana_Light_Combo_Part_2-15.png; posX: 0.2006792; posY: 0.07124639}
{file: Devana_Light_Combo_Part_2-16.png; posX: 0.2215585; posY: 0.05418503}
{file: Devana_Light_Combo_Part_2-17.png; posX: 0.2477273; posY: 0.03421897}
{file: Devana_Light_Combo_Part_2-18.png; posX: 0.2777701; posY: 0.01274306}
{file: Devana_Light_Combo_Part_2-19.png; posX: 0.3102717; posY: -0.008847833}
{file: Devana_Light_Combo_Part_2-20.png; posX: 0.3438166; posY: -0.02915889}
{file: Devana_Light_Combo_Part_2-21.png; posX: 0.3769894; posY: -0.04679513}
{file: Devana_Light_Combo_Part_2-22.png; posX: 0.4083749; posY: -0.0603618}
{file: Devana_Light_Combo_Part_2-23.png; posX: 0.4365576; posY: -0.07048398}
{file: Devana_Light_Combo_Part_2-24.png; posX: 0.4578283; posY: -0.07891464}
{file: Devana_Light_Combo_Part_2-25.png; posX: 0.4696581; posY: -0.08595061}
{file: Devana_Light_Combo_Part_2-26.png; posX: 0.4754728; posY: -0.09188884}
{file: Devana_Light_Combo_Part_2-27.png; posX: 0.4792022; posY: -0.09702623}
{file: Devana_Light_Combo_Part_2-28.png; posX: 0.4819586; posY: -0.1016596}
{file: Devana_Light_Combo_Part_2-29.png; posX: 0.4848538; posY: -0.1060858}
{file: Devana_Light_Combo_Part_2-30.png; posX: 0.4865601; posY: -0.1101772}
{file: Devana_Light_Combo_Part_2-31.png; posX: 0.4856032; posY: -0.1134794}
{file: Devana_Light_Combo_Part_2-32.png; posX: 0.4828759; posY: -0.1158}
{file: Devana_Light_Combo_Part_2-33.png; posX: 0.4792708; posY: -0.1169465}
{file: Devana_Light_Combo_Part_2-34.png; posX: 0.4756809; posY: -0.116726}
{file: Devana_Light_Combo_Part_2-35.png; posX: 0.4729987; posY: -0.1149462}
{file: Devana_Light_Combo_Part_2-36.png; posX: 0.472117; posY: -0.1114145}
{file: Devana_Light_Combo_Part_2-37.png; posX: 0.4728729; posY: -0.1059382}
{file: Devana_Light_Combo_Part_2-38.png; posX: 0.4744268; posY: -0.09832478}
{file: Devana_Light_Combo_Part_2-39.png; posX: 0.4766572; posY: -0.08925533}
{file: Devana_Light_Combo_Part_2-40.png; posX: 0.4794423; posY: -0.07958859}
{file: Devana_Light_Combo_Part_2-41.png; posX: 0.4826605; posY: -0.06939882}
