{file: Devana_Special_2_Part_5-0.png; posX: 4.506198; posY: 0}
{file: Devana_Special_2_Part_5-1.png; posX: 4.496985; posY: -0.002590239}
{file: Devana_Special_2_Part_5-2.png; posX: 4.48399; posY: -0.007819593}
{file: Devana_Special_2_Part_5-3.png; posX: 4.472255; posY: -0.01545525}
{file: Devana_Special_2_Part_5-4.png; posX: 4.466823; posY: -0.02526438}
{file: Devana_Special_2_Part_5-5.png; posX: 4.472736; posY: -0.03701425}
{file: Devana_Special_2_Part_5-6.png; posX: 4.495037; posY: -0.0504719}
{file: Devana_Special_2_Part_5-7.png; posX: 4.538769; posY: -0.06401533}
{file: Devana_Special_2_Part_5-8.png; posX: 4.59113; posY: -0.07590944}
{file: Devana_Special_2_Part_5-9.png; posX: 4.636786; posY: -0.08575189}
{file: Devana_Special_2_Part_5-10.png; posX: 4.676981; posY: -0.09314054}
{file: Devana_Special_2_Part_5-11.png; posX: 4.712958; posY: -0.09767312}
{file: Devana_Special_2_Part_5-12.png; posX: 4.774608; posY: -0.09894729}
{file: Devana_Special_2_Part_5-13.png; posX: 4.881703; posY: -0.09512717}
{file: Devana_Special_2_Part_5-14.png; posX: 5.020315; posY: -0.1041934}
{file: Devana_Special_2_Part_5-15.png; posX: 5.176512; posY: -0.1453893}
{file: Devana_Special_2_Part_5-16.png; posX: 5.336363; posY: -0.1975794}
{file: Devana_Special_2_Part_5-17.png; posX: 5.485938; posY: -0.242888}
{file: Devana_Special_2_Part_5-18.png; posX: 5.611305; posY: -0.2710862}
{file: Devana_Special_2_Part_5-19.png; posX: 5.698534; posY: -0.2675856}
{file: Devana_Special_2_Part_5-20.png; posX: 5.744318; posY: -0.2551661}
{file: Devana_Special_2_Part_5-21.png; posX: 5.760994; posY: -0.2568668}
{file: Devana_Special_2_Part_5-22.png; posX: 5.7581; posY: -0.2624135}
{file: Devana_Special_2_Part_5-23.png; posX: 5.745171; posY: -0.2647917}
{file: Devana_Special_2_Part_5-24.png; posX: 5.731746; posY: -0.266328}
{file: Devana_Special_2_Part_5-25.png; posX: 5.72736; posY: -0.267341}
{file: Devana_Special_2_Part_5-26.png; posX: 5.73102; posY: -0.2681496}
{file: Devana_Special_2_Part_5-27.png; posX: 5.735095; posY: -0.2690724}
{file: Devana_Special_2_Part_5-28.png; posX: 5.739169; posY: -0.2704281}
{file: Devana_Special_2_Part_5-29.png; posX: 5.742827; posY: -0.2721777}
{file: Devana_Special_2_Part_5-30.png; posX: 5.745654; posY: -0.2735628}
{file: Devana_Special_2_Part_5-31.png; posX: 5.747232; posY: -0.273823}
{file: Devana_Special_2_Part_5-32.png; posX: 5.747149; posY: -0.2721981}
{file: Devana_Special_2_Part_5-33.png; posX: 5.744986; posY: -0.2679277}
{file: Devana_Special_2_Part_5-34.png; posX: 5.740329; posY: -0.2602516}
{file: Devana_Special_2_Part_5-35.png; posX: 5.732762; posY: -0.2484096}
{file: Devana_Special_2_Part_5-36.png; posX: 5.72187; posY: -0.2357631}
{file: Devana_Special_2_Part_5-37.png; posX: 5.714562; posY: -0.2276189}
{file: Devana_Special_2_Part_5-38.png; posX: 5.716898; posY: -0.2261349}
{file: Devana_Special_2_Part_5-39.png; posX: 5.727191; posY: -0.2334688}
{file: Devana_Special_2_Part_5-40.png; posX: 5.743754; posY: -0.2487254}
{file: Devana_Special_2_Part_5-41.png; posX: 5.764899; posY: -0.2682118}
{file: Devana_Special_2_Part_5-42.png; posX: 5.788938; posY: -0.2898897}
{file: Devana_Special_2_Part_5-43.png; posX: 5.814184; posY: -0.3117211}
{file: Devana_Special_2_Part_5-44.png; posX: 5.83895; posY: -0.3316676}
{file: Devana_Special_2_Part_5-45.png; posX: 5.861547; posY: -0.3476912}
{file: Devana_Special_2_Part_5-46.png; posX: 5.880288; posY: -0.3577536}
{file: Devana_Special_2_Part_5-47.png; posX: 5.893486; posY: -0.361393}
{file: Devana_Special_2_Part_5-48.png; posX: 5.899453; posY: -0.3611991}
{file: Devana_Special_2_Part_5-49.png; posX: 5.90153; posY: -0.3597106}
{file: Devana_Special_2_Part_5-50.png; posX: 5.904251; posY: -0.3594664}
{file: Devana_Special_2_Part_5-51.png; posX: 5.907717; posY: -0.3618059}
{file: Devana_Special_2_Part_5-52.png; posX: 5.91203; posY: -0.3653014}
{file: Devana_Special_2_Part_5-53.png; posX: 5.917294; posY: -0.3683414}
{file: Devana_Special_2_Part_5-54.png; posX: 5.923608; posY: -0.3693144}
{file: Devana_Special_2_Part_5-55.png; posX: 5.931077; posY: -0.3654967}
{file: Devana_Special_2_Part_5-56.png; posX: 5.9398; posY: -0.3662263}
{file: Devana_Special_2_Part_5-57.png; posX: 5.949882; posY: -0.3813928}
{file: Devana_Special_2_Part_5-58.png; posX: 5.961423; posY: -0.3988079}
{file: Devana_Special_2_Part_5-59.png; posX: 5.974526; posY: -0.410169}
{file: Devana_Special_2_Part_5-60.png; posX: 5.989293; posY: -0.387231}
{file: Devana_Special_2_Part_5-61.png; posX: 6.005825; posY: -0.2998705}
{file: Devana_Special_2_Part_5-62.png; posX: 6.024225; posY: -0.1635379}
{file: Devana_Special_2_Part_5-63.png; posX: 6.044595; posY: 0.006978393}
{file: Devana_Special_2_Part_5-64.png; posX: 6.067037; posY: 0.2039185}
{file: Devana_Special_2_Part_5-65.png; posX: 6.091653; posY: 0.4160173}
{file: Devana_Special_2_Part_5-66.png; posX: 6.118545; posY: 0.6320097}
{file: Devana_Special_2_Part_5-67.png; posX: 6.144958; posY: 0.8406302}
{file: Devana_Special_2_Part_5-68.png; posX: 6.168221; posY: 1.030615}
{file: Devana_Special_2_Part_5-69.png; posX: 6.188556; posY: 1.190072}
{file: Devana_Special_2_Part_5-70.png; posX: 6.206184; posY: 1.31723}
{file: Devana_Special_2_Part_5-71.png; posX: 6.221328; posY: 1.416001}
{file: Devana_Special_2_Part_5-72.png; posX: 6.23421; posY: 1.490296}
{file: Devana_Special_2_Part_5-73.png; posX: 6.245052; posY: 1.544027}
{file: Devana_Special_2_Part_5-74.png; posX: 6.254077; posY: 1.581106}
{file: Devana_Special_2_Part_5-75.png; posX: 6.261507; posY: 1.605443}
{file: Devana_Special_2_Part_5-76.png; posX: 6.267564; posY: 1.62095}
{file: Devana_Special_2_Part_5-77.png; posX: 6.27247; posY: 1.631538}
{file: Devana_Special_2_Part_5-78.png; posX: 6.276449; posY: 1.641119}
{file: Devana_Special_2_Part_5-79.png; posX: 6.279721; posY: 1.653605}
{file: Devana_Special_2_Part_5-80.png; posX: 6.28251; posY: 1.66896}
{file: Devana_Special_2_Part_5-81.png; posX: 6.285038; posY: 1.684275}
{file: Devana_Special_2_Part_5-82.png; posX: 6.287526; posY: 1.699154}
{file: Devana_Special_2_Part_5-83.png; posX: 6.290197; posY: 1.713199}
{file: Devana_Special_2_Part_5-84.png; posX: 6.293273; posY: 1.726013}
{file: Devana_Special_2_Part_5-85.png; posX: 6.296978; posY: 1.7372}
{file: Devana_Special_2_Part_5-86.png; posX: 6.301532; posY: 1.746362}
{file: Devana_Special_2_Part_5-87.png; posX: 6.307159; posY: 1.753103}
{file: Devana_Special_2_Part_5-88.png; posX: 6.31408; posY: 1.757025}
{file: Devana_Special_2_Part_5-89.png; posX: 6.322518; posY: 1.757732}
{file: Devana_Special_2_Part_5-90.png; posX: 6.332695; posY: 1.754826}
{file: Devana_Special_2_Part_5-91.png; posX: 6.344832; posY: 1.747911}
