{file: Devana_Light_Combo_Part_3-0.png; pivotX: 145.6142; pivotY: 374.2134}
{file: Devana_Light_Combo_Part_3-1.png; pivotX: 145.0311; pivotY: 365.5802}
{file: Devana_Light_Combo_Part_3-2.png; pivotX: 142.7567; pivotY: 341.6903}
{file: Devana_Light_Combo_Part_3-3.png; pivotX: 137.0227; pivotY: 306.5501}
{file: Devana_Light_Combo_Part_3-4.png; pivotX: 125.6929; pivotY: 273.4685}
{file: Devana_Light_Combo_Part_3-5.png; pivotX: 109.3893; pivotY: 249.1248}
{file: Devana_Light_Combo_Part_3-6.png; pivotX: 101.0089; pivotY: 249.7717}
{file: Devana_Light_Combo_Part_3-7.png; pivotX: 82.22774; pivotY: 249.1719}
{file: Devana_Light_Combo_Part_3-8.png; pivotX: 66.50005; pivotY: 249.6968}
{file: Devana_Light_Combo_Part_3-9.png; pivotX: 69.81985; pivotY: 250.455}
{file: Devana_Light_Combo_Part_3-10.png; pivotX: 75.05067; pivotY: 251.3835}
{file: Devana_Light_Combo_Part_3-11.png; pivotX: 99.064; pivotY: 256.3236}
{file: Devana_Light_Combo_Part_3-12.png; pivotX: 134.1744; pivotY: 266.6921}
{file: Devana_Light_Combo_Part_3-13.png; pivotX: 154.9718; pivotY: 279.8633}
{file: Devana_Light_Combo_Part_3-14.png; pivotX: 134.5506; pivotY: 289.2374}
{file: Devana_Light_Combo_Part_3-15.png; pivotX: 110.2577; pivotY: 295.0286}
{file: Devana_Light_Combo_Part_3-16.png; pivotX: 116.2758; pivotY: 299.4138}
{file: Devana_Light_Combo_Part_3-17.png; pivotX: 126.4947; pivotY: 300.3679}
{file: Devana_Light_Combo_Part_3-18.png; pivotX: 135.611; pivotY: 298.1051}
{file: Devana_Light_Combo_Part_3-19.png; pivotX: 142.7045; pivotY: 294.2784}
{file: Devana_Light_Combo_Part_3-20.png; pivotX: 160.3745; pivotY: 289.2016}
{file: Devana_Light_Combo_Part_3-21.png; pivotX: 181.7322; pivotY: 283.8514}
{file: Devana_Light_Combo_Part_3-22.png; pivotX: 193.0164; pivotY: 279.5062}
{file: Devana_Light_Combo_Part_3-23.png; pivotX: 200.7487; pivotY: 276.2804}
{file: Devana_Light_Combo_Part_3-24.png; pivotX: 206.8528; pivotY: 274.0174}
{file: Devana_Light_Combo_Part_3-25.png; pivotX: 209.0043; pivotY: 271.795}
{file: Devana_Light_Combo_Part_3-26.png; pivotX: 210.0589; pivotY: 271.8802}
{file: Devana_Light_Combo_Part_3-27.png; pivotX: 211.594; pivotY: 273.0053}
{file: Devana_Light_Combo_Part_3-28.png; pivotX: 212.4983; pivotY: 271.0378}
{file: Devana_Light_Combo_Part_3-29.png; pivotX: 212.5158; pivotY: 269.1031}
{file: Devana_Light_Combo_Part_3-30.png; pivotX: 212.149; pivotY: 267.1439}
{file: Devana_Light_Combo_Part_3-31.png; pivotX: 211.0532; pivotY: 265.1323}
{file: Devana_Light_Combo_Part_3-32.png; pivotX: 209.6849; pivotY: 264.0003}
{file: Devana_Light_Combo_Part_3-33.png; pivotX: 208.0586; pivotY: 262.8618}
{file: Devana_Light_Combo_Part_3-34.png; pivotX: 205.9196; pivotY: 262.7048}
{file: Devana_Light_Combo_Part_3-35.png; pivotX: 201.884; pivotY: 262.567}
{file: Devana_Light_Combo_Part_3-36.png; pivotX: 209.3471; pivotY: 262.4952}
{file: Devana_Light_Combo_Part_3-37.png; pivotX: 219.0105; pivotY: 262.383}
{file: Devana_Light_Combo_Part_3-38.png; pivotX: 227.776; pivotY: 264.2736}
{file: Devana_Light_Combo_Part_3-39.png; pivotX: 234.3786; pivotY: 270.2072}
{file: Devana_Light_Combo_Part_3-40.png; pivotX: 238.7002; pivotY: 276.4737}
{file: Devana_Light_Combo_Part_3-41.png; pivotX: 238.6498; pivotY: 284.8558}
{file: Devana_Light_Combo_Part_3-42.png; pivotX: 230.427; pivotY: 294.3946}
{file: Devana_Light_Combo_Part_3-43.png; pivotX: 217.109; pivotY: 302.7739}
{file: Devana_Light_Combo_Part_3-44.png; pivotX: 201.8221; pivotY: 309.1259}
{file: Devana_Light_Combo_Part_3-45.png; pivotX: 183.9072; pivotY: 313.3364}
{file: Devana_Light_Combo_Part_3-46.png; pivotX: 162.4758; pivotY: 313.8454}
{file: Devana_Light_Combo_Part_3-47.png; pivotX: 137.8501; pivotY: 307.534}
{file: Devana_Light_Combo_Part_3-48.png; pivotX: 122.4624; pivotY: 294.3614}
{file: Devana_Light_Combo_Part_3-49.png; pivotX: 118.3234; pivotY: 271.8902}
{file: Devana_Light_Combo_Part_3-50.png; pivotX: 114.9997; pivotY: 275.1128}
{file: Devana_Light_Combo_Part_3-51.png; pivotX: 112.4858; pivotY: 278.4131}
{file: Devana_Light_Combo_Part_3-52.png; pivotX: 110.2698; pivotY: 281.0447}
{file: Devana_Light_Combo_Part_3-53.png; pivotX: 107.6953; pivotY: 316.4495}
{file: Devana_Light_Combo_Part_3-54.png; pivotX: 108.1847; pivotY: 318.6204}
{file: Devana_Light_Combo_Part_3-55.png; pivotX: 108.5361; pivotY: 321.9391}
{file: Devana_Light_Combo_Part_3-56.png; pivotX: 109.7532; pivotY: 324.5208}
{file: Devana_Light_Combo_Part_3-57.png; pivotX: 110.2916; pivotY: 327.1657}
{file: Devana_Light_Combo_Part_3-58.png; pivotX: 110.6057; pivotY: 329.9189}
{file: Devana_Light_Combo_Part_3-59.png; pivotX: 110.1792; pivotY: 331.9459}
{file: Devana_Light_Combo_Part_3-60.png; pivotX: 108.6241; pivotY: 334.1607}
{file: Devana_Light_Combo_Part_3-61.png; pivotX: 106.1582; pivotY: 336.472}
{file: Devana_Light_Combo_Part_3-62.png; pivotX: 103.5233; pivotY: 338.5597}
{file: Devana_Light_Combo_Part_3-63.png; pivotX: 103.3067; pivotY: 340.3037}
{file: Devana_Light_Combo_Part_3-64.png; pivotX: 104.5429; pivotY: 341.7713}
{file: Devana_Light_Combo_Part_3-65.png; pivotX: 105.9615; pivotY: 343.7988}
{file: Devana_Light_Combo_Part_3-66.png; pivotX: 106.1884; pivotY: 345.4551}
{file: Devana_Light_Combo_Part_3-67.png; pivotX: 106.1012; pivotY: 346.6703}
{file: Devana_Light_Combo_Part_3-68.png; pivotX: 105.7273; pivotY: 348.321}
{file: Devana_Light_Combo_Part_3-69.png; pivotX: 105.5453; pivotY: 348.411}
{file: Devana_Light_Combo_Part_3-70.png; pivotX: 104.2722; pivotY: 347.7475}
{file: Devana_Light_Combo_Part_3-71.png; pivotX: 102.9556; pivotY: 346.4352}
{file: Devana_Light_Combo_Part_3-72.png; pivotX: 101.9569; pivotY: 344.7846}
{file: Devana_Light_Combo_Part_3-73.png; pivotX: 100.2908; pivotY: 342.8904}
{file: Devana_Light_Combo_Part_3-74.png; pivotX: 98.06518; pivotY: 340.852}
{file: Devana_Light_Combo_Part_3-75.png; pivotX: 96.39551; pivotY: 339.6962}
{file: Devana_Light_Combo_Part_3-76.png; pivotX: 94.87047; pivotY: 337.6511}
{file: Devana_Light_Combo_Part_3-77.png; pivotX: 93.09309; pivotY: 335.7478}
{file: Devana_Light_Combo_Part_3-78.png; pivotX: 92.09943; pivotY: 334.0804}
{file: Devana_Light_Combo_Part_3-79.png; pivotX: 91.36945; pivotY: 332.7422}
{file: Devana_Light_Combo_Part_3-80.png; pivotX: 90.88193; pivotY: 331.8265}
{file: Devana_Light_Combo_Part_3-81.png; pivotX: 90.619; pivotY: 331.424}
{file: Devana_Light_Combo_Part_3-82.png; pivotX: 90.53624; pivotY: 332.2656}
{file: Devana_Light_Combo_Part_3-83.png; pivotX: 90.11246; pivotY: 332.2897}
{file: Devana_Light_Combo_Part_3-84.png; pivotX: 90.27009; pivotY: 332.3883}
{file: Devana_Light_Combo_Part_3-85.png; pivotX: 90.4518; pivotY: 332.5444}
{file: Devana_Light_Combo_Part_3-86.png; pivotX: 91.14903; pivotY: 332.741}
{file: Devana_Light_Combo_Part_3-87.png; pivotX: 91.34448; pivotY: 332.9601}
{file: Devana_Light_Combo_Part_3-88.png; pivotX: 91.52451; pivotY: 333.1838}
{file: Devana_Light_Combo_Part_3-89.png; pivotX: 91.67406; pivotY: 333.3955}
{file: Devana_Light_Combo_Part_3-90.png; pivotX: 91.80299; pivotY: 333.5783}
