{file: Devana_Special_2_Part_5-0.png; pivotX: 101.7955; pivotY: 348.6537}
{file: Devana_Special_2_Part_5-1.png; pivotX: 100.5154; pivotY: 348.0845}
{file: Devana_Special_2_Part_5-2.png; pivotX: 98.62339; pivotY: 347.7142}
{file: Devana_Special_2_Part_5-3.png; pivotX: 96.58833; pivotY: 348.2541}
{file: Devana_Special_2_Part_5-4.png; pivotX: 95.21003; pivotY: 345.6536}
{file: Devana_Special_2_Part_5-5.png; pivotX: 96.72963; pivotY: 338.2086}
{file: Devana_Special_2_Part_5-6.png; pivotX: 101.0605; pivotY: 326.8908}
{file: Devana_Special_2_Part_5-7.png; pivotX: 110.5003; pivotY: 315.0604}
{file: Devana_Special_2_Part_5-8.png; pivotX: 116.7918; pivotY: 302.7439}
{file: Devana_Special_2_Part_5-9.png; pivotX: 114.0647; pivotY: 295.7251}
{file: Devana_Special_2_Part_5-10.png; pivotX: 105.5565; pivotY: 294.4735}
{file: Devana_Special_2_Part_5-11.png; pivotX: 96.47958; pivotY: 292.4609}
{file: Devana_Special_2_Part_5-12.png; pivotX: 94.36593; pivotY: 290.756}
{file: Devana_Special_2_Part_5-13.png; pivotX: 89.18932; pivotY: 289.463}
{file: Devana_Special_2_Part_5-14.png; pivotX: 84.27904; pivotY: 288.9261}
{file: Devana_Special_2_Part_5-15.png; pivotX: 95.04723; pivotY: 286.2141}
{file: Devana_Special_2_Part_5-16.png; pivotX: 109.3866; pivotY: 278.2398}
{file: Devana_Special_2_Part_5-17.png; pivotX: 118.8874; pivotY: 270.4255}
{file: Devana_Special_2_Part_5-18.png; pivotX: 130.1244; pivotY: 261.7519}
{file: Devana_Special_2_Part_5-19.png; pivotX: 140.9794; pivotY: 263.6519}
{file: Devana_Special_2_Part_5-20.png; pivotX: 147.1037; pivotY: 267.2785}
{file: Devana_Special_2_Part_5-21.png; pivotX: 148.5804; pivotY: 267.2067}
{file: Devana_Special_2_Part_5-22.png; pivotX: 147.5368; pivotY: 266.5984}
{file: Devana_Special_2_Part_5-23.png; pivotX: 144.3128; pivotY: 265.9094}
{file: Devana_Special_2_Part_5-24.png; pivotX: 141.5324; pivotY: 265.9615}
{file: Devana_Special_2_Part_5-25.png; pivotX: 139.5685; pivotY: 265.7861}
{file: Devana_Special_2_Part_5-26.png; pivotX: 139.2906; pivotY: 265.6802}
{file: Devana_Special_2_Part_5-27.png; pivotX: 139.3106; pivotY: 265.5523}
{file: Devana_Special_2_Part_5-28.png; pivotX: 139.2501; pivotY: 264.3969}
{file: Devana_Special_2_Part_5-29.png; pivotX: 139.1127; pivotY: 264.1213}
{file: Devana_Special_2_Part_5-30.png; pivotX: 138.5157; pivotY: 263.8761}
{file: Devana_Special_2_Part_5-31.png; pivotX: 138.0229; pivotY: 263.8833}
{file: Devana_Special_2_Part_5-32.png; pivotX: 137.9318; pivotY: 263.5104}
{file: Devana_Special_2_Part_5-33.png; pivotX: 137.3727; pivotY: 263.6248}
{file: Devana_Special_2_Part_5-34.png; pivotX: 136.9707; pivotY: 264.7411}
{file: Devana_Special_2_Part_5-35.png; pivotX: 135.5158; pivotY: 265.5315}
{file: Devana_Special_2_Part_5-36.png; pivotX: 134.2752; pivotY: 264.7865}
{file: Devana_Special_2_Part_5-37.png; pivotX: 133.6004; pivotY: 262.9265}
{file: Devana_Special_2_Part_5-38.png; pivotX: 133.3496; pivotY: 257.6668}
{file: Devana_Special_2_Part_5-39.png; pivotX: 134.1775; pivotY: 251.3598}
{file: Devana_Special_2_Part_5-40.png; pivotX: 134.8105; pivotY: 244.9336}
{file: Devana_Special_2_Part_5-41.png; pivotX: 135.4909; pivotY: 237.3549}
{file: Devana_Special_2_Part_5-42.png; pivotX: 135.632; pivotY: 229.8859}
{file: Devana_Special_2_Part_5-43.png; pivotX: 134.759; pivotY: 222.3278}
{file: Devana_Special_2_Part_5-44.png; pivotX: 134.1067; pivotY: 213.9623}
{file: Devana_Special_2_Part_5-45.png; pivotX: 134.3312; pivotY: 207.8144}
{file: Devana_Special_2_Part_5-46.png; pivotX: 135.2137; pivotY: 202.8225}
{file: Devana_Special_2_Part_5-47.png; pivotX: 137.5234; pivotY: 200.7559}
{file: Devana_Special_2_Part_5-48.png; pivotX: 138.5671; pivotY: 201.6885}
{file: Devana_Special_2_Part_5-49.png; pivotX: 139.1641; pivotY: 203.8088}
{file: Devana_Special_2_Part_5-50.png; pivotX: 139.4943; pivotY: 204.685}
{file: Devana_Special_2_Part_5-51.png; pivotX: 140.1128; pivotY: 205.2989}
{file: Devana_Special_2_Part_5-52.png; pivotX: 141.4572; pivotY: 205.9786}
{file: Devana_Special_2_Part_5-53.png; pivotX: 142.3743; pivotY: 207.0788}
{file: Devana_Special_2_Part_5-54.png; pivotX: 144.0552; pivotY: 210.5388}
{file: Devana_Special_2_Part_5-55.png; pivotX: 145.1088; pivotY: 217.2661}
{file: Devana_Special_2_Part_5-56.png; pivotX: 145.6994; pivotY: 225.638}
{file: Devana_Special_2_Part_5-57.png; pivotX: 147.2363; pivotY: 231.9804}
{file: Devana_Special_2_Part_5-58.png; pivotX: 148.561; pivotY: 233.3278}
{file: Devana_Special_2_Part_5-59.png; pivotX: 150.7285; pivotY: 242.0689}
{file: Devana_Special_2_Part_5-60.png; pivotX: 153.6391; pivotY: 251.5305}
{file: Devana_Special_2_Part_5-61.png; pivotX: 151.7081; pivotY: 269.9109}
{file: Devana_Special_2_Part_5-62.png; pivotX: 142.2282; pivotY: 296.3111}
{file: Devana_Special_2_Part_5-63.png; pivotX: 117.9419; pivotY: 328.7072}
{file: Devana_Special_2_Part_5-64.png; pivotX: 82.21805; pivotY: 365.1774}
{file: Devana_Special_2_Part_5-65.png; pivotX: 76.58323; pivotY: 402.6967}
{file: Devana_Special_2_Part_5-66.png; pivotX: 79.19122; pivotY: 442.765}
{file: Devana_Special_2_Part_5-67.png; pivotX: 81.3487; pivotY: 481.3771}
{file: Devana_Special_2_Part_5-68.png; pivotX: 82.23215; pivotY: 517.3154}
{file: Devana_Special_2_Part_5-69.png; pivotX: 81.95229; pivotY: 548.6611}
{file: Devana_Special_2_Part_5-70.png; pivotX: 81.00102; pivotY: 574.7024}
{file: Devana_Special_2_Part_5-71.png; pivotX: 79.23327; pivotY: 594.0012}
{file: Devana_Special_2_Part_5-72.png; pivotX: 77.08675; pivotY: 607.9533}
{file: Devana_Special_2_Part_5-73.png; pivotX: 74.9489; pivotY: 618.6105}
{file: Devana_Special_2_Part_5-74.png; pivotX: 72.84895; pivotY: 626.6814}
{file: Devana_Special_2_Part_5-75.png; pivotX: 70.83684; pivotY: 631.0077}
{file: Devana_Special_2_Part_5-76.png; pivotX: 68.78606; pivotY: 635.6747}
{file: Devana_Special_2_Part_5-77.png; pivotX: 66.73; pivotY: 637.7803}
{file: Devana_Special_2_Part_5-78.png; pivotX: 65.16667; pivotY: 638.5085}
{file: Devana_Special_2_Part_5-79.png; pivotX: 63.0839; pivotY: 640.4}
{file: Devana_Special_2_Part_5-80.png; pivotX: 61.56845; pivotY: 643.5762}
{file: Devana_Special_2_Part_5-81.png; pivotX: 60.30133; pivotY: 644.64}
{file: Devana_Special_2_Part_5-82.png; pivotX: 59.75754; pivotY: 645.7073}
{file: Devana_Special_2_Part_5-83.png; pivotX: 59.76165; pivotY: 646.9674}
{file: Devana_Special_2_Part_5-84.png; pivotX: 60.81247; pivotY: 648.5122}
{file: Devana_Special_2_Part_5-85.png; pivotX: 62.07037; pivotY: 648.8221}
{file: Devana_Special_2_Part_5-86.png; pivotX: 63.6386; pivotY: 648.0651}
{file: Devana_Special_2_Part_5-87.png; pivotX: 64.97153; pivotY: 646.6268}
{file: Devana_Special_2_Part_5-88.png; pivotX: 67.49406; pivotY: 646.2867}
{file: Devana_Special_2_Part_5-89.png; pivotX: 70.0536; pivotY: 644.6878}
{file: Devana_Special_2_Part_5-90.png; pivotX: 72.93492; pivotY: 642.2936}
{file: Devana_Special_2_Part_5-91.png; pivotX: 76.13213; pivotY: 642.396}
{file: Devana_Special_2_Part_5-92.png; pivotX: 79.19882; pivotY: 639.0076}
{file: Devana_Special_2_Part_5-93.png; pivotX: 83.35298; pivotY: 640.5006}
{file: Devana_Special_2_Part_5-94.png; pivotX: 88.41944; pivotY: 634.4348}
{file: Devana_Special_2_Part_5-95.png; pivotX: 92.90376; pivotY: 598.4158}
{file: Devana_Special_2_Part_5-96.png; pivotX: 94.5705; pivotY: 555.4243}
{file: Devana_Special_2_Part_5-97.png; pivotX: 84.59088; pivotY: 520.2297}
{file: Devana_Special_2_Part_5-98.png; pivotX: 57.79013; pivotY: 468.1461}
{file: Devana_Special_2_Part_5-99.png; pivotX: 34.84627; pivotY: 371.7725}
{file: Devana_Special_2_Part_5-100.png; pivotX: 68.36064; pivotY: 261.2728}
{file: Devana_Special_2_Part_5-101.png; pivotX: 75.23059; pivotY: 202.668}
{file: Devana_Special_2_Part_5-102.png; pivotX: 79.7406; pivotY: 180.0357}
{file: Devana_Special_2_Part_5-103.png; pivotX: 88.44299; pivotY: 148.3036}
{file: Devana_Special_2_Part_5-104.png; pivotX: 90.47998; pivotY: 126.1471}
{file: Devana_Special_2_Part_5-105.png; pivotX: 92.32179; pivotY: 121.0448}
{file: Devana_Special_2_Part_5-106.png; pivotX: 94.77236; pivotY: 122.5643}
{file: Devana_Special_2_Part_5-107.png; pivotX: 95.20406; pivotY: 128.2244}
{file: Devana_Special_2_Part_5-108.png; pivotX: 94.2243; pivotY: 133.0194}
{file: Devana_Special_2_Part_5-109.png; pivotX: 93.11037; pivotY: 136.5838}
{file: Devana_Special_2_Part_5-110.png; pivotX: 92.07984; pivotY: 137.5216}
{file: Devana_Special_2_Part_5-111.png; pivotX: 91.23753; pivotY: 136.9257}
{file: Devana_Special_2_Part_5-112.png; pivotX: 90.95503; pivotY: 135.4243}
{file: Devana_Special_2_Part_5-113.png; pivotX: 91.11414; pivotY: 136.6681}
{file: Devana_Special_2_Part_5-114.png; pivotX: 91.8989; pivotY: 136.767}
{file: Devana_Special_2_Part_5-115.png; pivotX: 92.03429; pivotY: 136.7299}
