{file: Devana_Light_Combo_Part_4-0.png; pivotX: 211.3598; pivotY: 264.8877}
{file: Devana_Light_Combo_Part_4-1.png; pivotX: 211.3681; pivotY: 261.5458}
{file: Devana_Light_Combo_Part_4-2.png; pivotX: 208.8797; pivotY: 258.2806}
{file: Devana_Light_Combo_Part_4-3.png; pivotX: 207.3176; pivotY: 257.2907}
{file: Devana_Light_Combo_Part_4-4.png; pivotX: 204.4283; pivotY: 256.4018}
{file: Devana_Light_Combo_Part_4-5.png; pivotX: 220.6676; pivotY: 255.6045}
{file: Devana_Light_Combo_Part_4-6.png; pivotX: 227.7877; pivotY: 270.8317}
{file: Devana_Light_Combo_Part_4-7.png; pivotX: 220.9098; pivotY: 291.9081}
{file: Devana_Light_Combo_Part_4-8.png; pivotX: 200.2184; pivotY: 310.4229}
{file: Devana_Light_Combo_Part_4-9.png; pivotX: 187.1004; pivotY: 323.7585}
{file: Devana_Light_Combo_Part_4-10.png; pivotX: 182.2653; pivotY: 323.4264}
{file: Devana_Light_Combo_Part_4-11.png; pivotX: 177.5298; pivotY: 322.9351}
{file: Devana_Light_Combo_Part_4-12.png; pivotX: 162.0485; pivotY: 326.3409}
{file: Devana_Light_Combo_Part_4-13.png; pivotX: 133.9977; pivotY: 331.9655}
{file: Devana_Light_Combo_Part_4-14.png; pivotX: 153.1576; pivotY: 336.9562}
{file: Devana_Light_Combo_Part_4-15.png; pivotX: 161.9202; pivotY: 346.7267}
{file: Devana_Light_Combo_Part_4-16.png; pivotX: 162.5802; pivotY: 316.7193}
{file: Devana_Light_Combo_Part_4-17.png; pivotX: 158.6306; pivotY: 244.1013}
{file: Devana_Light_Combo_Part_4-18.png; pivotX: 137.6595; pivotY: 268.3983}
{file: Devana_Light_Combo_Part_4-19.png; pivotX: 128.1452; pivotY: 296.1163}
{file: Devana_Light_Combo_Part_4-20.png; pivotX: 126.3188; pivotY: 294.3842}
{file: Devana_Light_Combo_Part_4-21.png; pivotX: 116.814; pivotY: 352.6855}
{file: Devana_Light_Combo_Part_4-22.png; pivotX: 114.2793; pivotY: 312.2964}
{file: Devana_Light_Combo_Part_4-23.png; pivotX: 108.6555; pivotY: 315.9495}
{file: Devana_Light_Combo_Part_4-24.png; pivotX: 108.3447; pivotY: 378.4103}
{file: Devana_Light_Combo_Part_4-25.png; pivotX: 104.6682; pivotY: 440.8338}
{file: Devana_Light_Combo_Part_4-26.png; pivotX: 100.0346; pivotY: 443.9657}
{file: Devana_Light_Combo_Part_4-27.png; pivotX: 92.95116; pivotY: 429.9773}
{file: Devana_Light_Combo_Part_4-28.png; pivotX: 100.3362; pivotY: 413.3798}
{file: Devana_Light_Combo_Part_4-29.png; pivotX: 131.2943; pivotY: 391.9769}
{file: Devana_Light_Combo_Part_4-30.png; pivotX: 163.2344; pivotY: 357.3893}
{file: Devana_Light_Combo_Part_4-31.png; pivotX: 187.0791; pivotY: 323.0806}
{file: Devana_Light_Combo_Part_4-32.png; pivotX: 195.3882; pivotY: 323.9982}
{file: Devana_Light_Combo_Part_4-33.png; pivotX: 189.3595; pivotY: 324.1436}
{file: Devana_Light_Combo_Part_4-34.png; pivotX: 170.4973; pivotY: 362.43}
{file: Devana_Light_Combo_Part_4-35.png; pivotX: 144.415; pivotY: 392.5653}
{file: Devana_Light_Combo_Part_4-36.png; pivotX: 114.3955; pivotY: 412.0988}
{file: Devana_Light_Combo_Part_4-37.png; pivotX: 85.51431; pivotY: 422.7517}
{file: Devana_Light_Combo_Part_4-38.png; pivotX: 78.55952; pivotY: 424.2178}
{file: Devana_Light_Combo_Part_4-39.png; pivotX: 83.26722; pivotY: 421.7643}
{file: Devana_Light_Combo_Part_4-40.png; pivotX: 87.51438; pivotY: 415.131}
{file: Devana_Light_Combo_Part_4-41.png; pivotX: 90.80297; pivotY: 408.3356}
{file: Devana_Light_Combo_Part_4-42.png; pivotX: 95.14706; pivotY: 402.3916}
{file: Devana_Light_Combo_Part_4-43.png; pivotX: 100.0999; pivotY: 396.3885}
{file: Devana_Light_Combo_Part_4-44.png; pivotX: 105.9358; pivotY: 392.3326}
{file: Devana_Light_Combo_Part_4-45.png; pivotX: 110.5523; pivotY: 388.3442}
{file: Devana_Light_Combo_Part_4-46.png; pivotX: 111.6864; pivotY: 385.4566}
{file: Devana_Light_Combo_Part_4-47.png; pivotX: 107.7551; pivotY: 383.6806}
{file: Devana_Light_Combo_Part_4-48.png; pivotX: 100.845; pivotY: 382.9047}
{file: Devana_Light_Combo_Part_4-49.png; pivotX: 93.89747; pivotY: 383.1368}
{file: Devana_Light_Combo_Part_4-50.png; pivotX: 87.28928; pivotY: 385.3372}
{file: Devana_Light_Combo_Part_4-51.png; pivotX: 81.03754; pivotY: 387.57}
{file: Devana_Light_Combo_Part_4-52.png; pivotX: 74.11032; pivotY: 390.7802}
{file: Devana_Light_Combo_Part_4-53.png; pivotX: 67.4201; pivotY: 394.0001}
{file: Devana_Light_Combo_Part_4-54.png; pivotX: 59.85864; pivotY: 395.2429}
{file: Devana_Light_Combo_Part_4-55.png; pivotX: 52.12855; pivotY: 397.4899}
{file: Devana_Light_Combo_Part_4-56.png; pivotX: 44.72278; pivotY: 397.7905}
{file: Devana_Light_Combo_Part_4-57.png; pivotX: 38.00443; pivotY: 398.9908}
{file: Devana_Light_Combo_Part_4-58.png; pivotX: 36.39971; pivotY: 398.0141}
