{file: Devana_Light_Combo_Part_1-0.png; posX: 0.02823552; posY: 0}
{file: Devana_Light_Combo_Part_1-1.png; posX: 0.02823552; posY: 0}
{file: Devana_Light_Combo_Part_1-2.png; posX: 0.05624822; posY: -0.0019871}
{file: Devana_Light_Combo_Part_1-3.png; posX: 0.08853427; posY: -0.005191028}
{file: Devana_Light_Combo_Part_1-4.png; posX: 0.130118; posY: -0.009852767}
{file: Devana_Light_Combo_Part_1-5.png; posX: 0.1762649; posY: -0.01621324}
{file: Devana_Light_Combo_Part_1-6.png; posX: 0.2221095; posY: -0.02451342}
{file: Devana_Light_Combo_Part_1-7.png; posX: 0.2675517; posY: -0.0349943}
{file: Devana_Light_Combo_Part_1-8.png; posX: 0.3121796; posY: -0.04684049}
{file: Devana_Light_Combo_Part_1-9.png; posX: 0.3555815; posY: -0.0584963}
{file: Devana_Light_Combo_Part_1-10.png; posX: 0.3967009; posY: -0.06909215}
{file: Devana_Light_Combo_Part_1-11.png; posX: 0.4313497; posY: -0.07775873}
{file: Devana_Light_Combo_Part_1-12.png; posX: 0.4544179; posY: -0.08362645}
{file: Devana_Light_Combo_Part_1-13.png; posX: 0.4652736; posY: -0.0858258}
{file: Devana_Light_Combo_Part_1-14.png; posX: 0.4696955; posY: -0.08348739}
{file: Devana_Light_Combo_Part_1-15.png; posX: 0.4721891; posY: -0.07808244}
{file: Devana_Light_Combo_Part_1-16.png; posX: 0.4751125; posY: -0.07165301}
{file: Devana_Light_Combo_Part_1-17.png; posX: 0.4773073; posY: -0.06418574}
{file: Devana_Light_Combo_Part_1-18.png; posX: 0.4780048; posY: -0.05566728}
{file: Devana_Light_Combo_Part_1-19.png; posX: 0.4764363; posY: -0.04608428}
{file: Devana_Light_Combo_Part_1-20.png; posX: 0.4718333; posY: -0.0354234}
{file: Devana_Light_Combo_Part_1-21.png; posX: 0.4651681; posY: -0.02367127}
{file: Devana_Light_Combo_Part_1-22.png; posX: 0.4598855; posY: -0.012981}
{file: Devana_Light_Combo_Part_1-23.png; posX: 0.4589258; posY: -0.00523603}
{file: Devana_Light_Combo_Part_1-24.png; posX: 0.4610758; posY: -1.859665E-05}
{file: Devana_Light_Combo_Part_1-25.png; posX: 0.4621208; posY: 0.00308913}
{file: Devana_Light_Combo_Part_1-26.png; posX: 0.4604993; posY: 0.004504859}
{file: Devana_Light_Combo_Part_1-27.png; posX: 0.4566635; posY: 0.00464642}
{file: Devana_Light_Combo_Part_1-28.png; posX: 0.4523765; posY: 0.003931582}
