{file: Devana_Special_2_Part_3-0.png; pivotX: 117.9598; pivotY: 287.5439}
{file: Devana_Special_2_Part_3-1.png; pivotX: 118.5378; pivotY: 287.6051}
{file: Devana_Special_2_Part_3-2.png; pivotX: 118.8158; pivotY: 288.626}
{file: Devana_Special_2_Part_3-3.png; pivotX: 118.7314; pivotY: 289.5767}
{file: Devana_Special_2_Part_3-4.png; pivotX: 118.4966; pivotY: 290.3998}
{file: Devana_Special_2_Part_3-5.png; pivotX: 118.3349; pivotY: 291.1957}
{file: Devana_Special_2_Part_3-6.png; pivotX: 118.1861; pivotY: 292.0828}
{file: Devana_Special_2_Part_3-7.png; pivotX: 118.0779; pivotY: 293.0351}
{file: Devana_Special_2_Part_3-8.png; pivotX: 118.0055; pivotY: 293.0724}
{file: Devana_Special_2_Part_3-9.png; pivotX: 118.0428; pivotY: 294.0651}
{file: Devana_Special_2_Part_3-10.png; pivotX: 118.3165; pivotY: 294.6147}
{file: Devana_Special_2_Part_3-11.png; pivotX: 122.0199; pivotY: 295.1398}
{file: Devana_Special_2_Part_3-12.png; pivotX: 121.2484; pivotY: 295.3523}
{file: Devana_Special_2_Part_3-13.png; pivotX: 115.3736; pivotY: 296.0639}
{file: Devana_Special_2_Part_3-14.png; pivotX: 105.9369; pivotY: 301.3943}
{file: Devana_Special_2_Part_3-15.png; pivotX: 89.34523; pivotY: 302.961}
{file: Devana_Special_2_Part_3-16.png; pivotX: 79.09265; pivotY: 305.4344}
{file: Devana_Special_2_Part_3-17.png; pivotX: 68.50383; pivotY: 306.6625}
{file: Devana_Special_2_Part_3-18.png; pivotX: 70.41451; pivotY: 306.3348}
{file: Devana_Special_2_Part_3-19.png; pivotX: 74.83749; pivotY: 304.2904}
{file: Devana_Special_2_Part_3-20.png; pivotX: 81.62087; pivotY: 306.0683}
{file: Devana_Special_2_Part_3-21.png; pivotX: 72.4978; pivotY: 307.2502}
{file: Devana_Special_2_Part_3-22.png; pivotX: 77.4121; pivotY: 319.5563}
{file: Devana_Special_2_Part_3-23.png; pivotX: 70.04224; pivotY: 315.3425}
{file: Devana_Special_2_Part_3-24.png; pivotX: 65.54942; pivotY: 305.7658}
{file: Devana_Special_2_Part_3-25.png; pivotX: 78.65969; pivotY: 299.4339}
{file: Devana_Special_2_Part_3-26.png; pivotX: 89.87125; pivotY: 292.7328}
{file: Devana_Special_2_Part_3-27.png; pivotX: 95.77062; pivotY: 283.9459}
