{file: Devana_Light_Combo_Part_1-0.png; pivotX: 97.01379; pivotY: 335.1143}
{file: Devana_Light_Combo_Part_1-1.png; pivotX: 97.01379; pivotY: 335.1143}
{file: Devana_Light_Combo_Part_1-2.png; pivotX: 102.6994; pivotY: 334.7878}
{file: Devana_Light_Combo_Part_1-3.png; pivotX: 109.3218; pivotY: 333.7511}
{file: Devana_Light_Combo_Part_1-4.png; pivotX: 115.316; pivotY: 332.8645}
{file: Devana_Light_Combo_Part_1-5.png; pivotX: 120.8961; pivotY: 299.2707}
{file: Devana_Light_Combo_Part_1-6.png; pivotX: 127.9426; pivotY: 295.6956}
{file: Devana_Light_Combo_Part_1-7.png; pivotX: 137.2819; pivotY: 292.1733}
{file: Devana_Light_Combo_Part_1-8.png; pivotX: 143.9581; pivotY: 289.0101}
{file: Devana_Light_Combo_Part_1-9.png; pivotX: 148.7877; pivotY: 287.2506}
{file: Devana_Light_Combo_Part_1-10.png; pivotX: 151.7739; pivotY: 284.2614}
{file: Devana_Light_Combo_Part_1-11.png; pivotX: 150.6771; pivotY: 281.8118}
{file: Devana_Light_Combo_Part_1-12.png; pivotX: 145.8574; pivotY: 278.404}
{file: Devana_Light_Combo_Part_1-13.png; pivotX: 141.3454; pivotY: 285.7314}
{file: Devana_Light_Combo_Part_1-14.png; pivotX: 136.9193; pivotY: 286.505}
{file: Devana_Light_Combo_Part_1-15.png; pivotX: 132.4246; pivotY: 281.1572}
{file: Devana_Light_Combo_Part_1-16.png; pivotX: 126.7699; pivotY: 278.6653}
{file: Devana_Light_Combo_Part_1-17.png; pivotX: 121.9621; pivotY: 279.6265}
{file: Devana_Light_Combo_Part_1-18.png; pivotX: 116.0117; pivotY: 282.7167}
{file: Devana_Light_Combo_Part_1-19.png; pivotX: 109.7439; pivotY: 285.9727}
{file: Devana_Light_Combo_Part_1-20.png; pivotX: 109.2678; pivotY: 290.0565}
{file: Devana_Light_Combo_Part_1-21.png; pivotX: 150.6201; pivotY: 295.9283}
{file: Devana_Light_Combo_Part_1-22.png; pivotX: 100.1487; pivotY: 328.1535}
{file: Devana_Light_Combo_Part_1-23.png; pivotX: 98.02502; pivotY: 330.3628}
{file: Devana_Light_Combo_Part_1-24.png; pivotX: 95.91157; pivotY: 331.4243}
{file: Devana_Light_Combo_Part_1-25.png; pivotX: 92.67146; pivotY: 332.6475}
{file: Devana_Light_Combo_Part_1-26.png; pivotX: 87.56535; pivotY: 334.2908}
{file: Devana_Light_Combo_Part_1-27.png; pivotX: 88.01366; pivotY: 334.7743}
{file: Devana_Light_Combo_Part_1-28.png; pivotX: 88.17439; pivotY: 336.1984}
{file: Devana_Light_Combo_Part_1-29.png; pivotX: 88.22202; pivotY: 335.8712}
{file: Devana_Light_Combo_Part_1-30.png; pivotX: 88.2619; pivotY: 335.7333}
{file: Devana_Light_Combo_Part_1-31.png; pivotX: 88.43958; pivotY: 335.823}
{file: Devana_Light_Combo_Part_1-32.png; pivotX: 89.28839; pivotY: 335.1701}
{file: Devana_Light_Combo_Part_1-33.png; pivotX: 90.19013; pivotY: 334.595}
{file: Devana_Light_Combo_Part_1-34.png; pivotX: 91.03196; pivotY: 333.2627}
{file: Devana_Light_Combo_Part_1-35.png; pivotX: 91.27538; pivotY: 332.2028}
{file: Devana_Light_Combo_Part_1-36.png; pivotX: 91.87339; pivotY: 331.3986}
{file: Devana_Light_Combo_Part_1-37.png; pivotX: 91.89788; pivotY: 330.8351}
{file: Devana_Light_Combo_Part_1-38.png; pivotX: 91.92141; pivotY: 330.4626}
