{file: Devana_Special_2_Part_4-0.png; posX: 2.798085; posY: 0}
{file: Devana_Special_2_Part_4-1.png; posX: 2.806317; posY: 0.004172981}
{file: Devana_Special_2_Part_4-2.png; posX: 2.811883; posY: 0.008099079}
{file: Devana_Special_2_Part_4-3.png; posX: 2.815503; posY: 0.01166922}
{file: Devana_Special_2_Part_4-4.png; posX: 2.817898; posY: 0.01477414}
{file: Devana_Special_2_Part_4-5.png; posX: 2.819787; posY: 0.01730478}
{file: Devana_Special_2_Part_4-6.png; posX: 2.82189; posY: 0.01915187}
{file: Devana_Special_2_Part_4-7.png; posX: 2.824929; posY: 0.02020639}
{file: Devana_Special_2_Part_4-8.png; posX: 2.829623; posY: 0.02035904}
{file: Devana_Special_2_Part_4-9.png; posX: 2.836692; posY: 0.01975024}
{file: Devana_Special_2_Part_4-10.png; posX: 2.861838; posY: 0.01844674}
{file: Devana_Special_2_Part_4-11.png; posX: 2.918378; posY: 0.01622897}
{file: Devana_Special_2_Part_4-12.png; posX: 3.003455; posY: 0.01287746}
{file: Devana_Special_2_Part_4-13.png; posX: 3.114212; posY: 0.008021712}
{file: Devana_Special_2_Part_4-14.png; posX: 3.234584; posY: 0.01113969}
{file: Devana_Special_2_Part_4-15.png; posX: 3.349775; posY: 0.03046697}
{file: Devana_Special_2_Part_4-16.png; posX: 3.458836; posY: 0.06019688}
{file: Devana_Special_2_Part_4-17.png; posX: 3.560816; posY: 0.09381938}
{file: Devana_Special_2_Part_4-18.png; posX: 3.654765; posY: 0.1248246}
{file: Devana_Special_2_Part_4-19.png; posX: 3.739733; posY: 0.1467025}
{file: Devana_Special_2_Part_4-20.png; posX: 3.814768; posY: 0.1539384}
{file: Devana_Special_2_Part_4-21.png; posX: 3.878922; posY: 0.1313376}
{file: Devana_Special_2_Part_4-22.png; posX: 3.931242; posY: 0.09076619}
{file: Devana_Special_2_Part_4-23.png; posX: 3.980085; posY: 0.04588199}
{file: Devana_Special_2_Part_4-24.png; posX: 4.033649; posY: 0.01034302}
{file: Devana_Special_2_Part_4-25.png; posX: 4.090746; posY: -0.007776201}
{file: Devana_Special_2_Part_4-26.png; posX: 4.150189; posY: -0.01467818}
{file: Devana_Special_2_Part_4-27.png; posX: 4.210792; posY: -0.01812088}
{file: Devana_Special_2_Part_4-28.png; posX: 4.271367; posY: -0.02174312}
{file: Devana_Special_2_Part_4-29.png; posX: 4.330727; posY: -0.02165985}
{file: Devana_Special_2_Part_4-30.png; posX: 4.387686; posY: -0.01434284}
{file: Devana_Special_2_Part_4-31.png; posX: 4.441055; posY: 0.00373596}
{file: Devana_Special_2_Part_4-32.png; posX: 4.489649; posY: 0.03436834}
{file: Devana_Special_2_Part_4-33.png; posX: 4.528924; posY: 0.07153946}
{file: Devana_Special_2_Part_4-34.png; posX: 4.556864; posY: 0.1070686}
{file: Devana_Special_2_Part_4-35.png; posX: 4.576071; posY: 0.1327749}
{file: Devana_Special_2_Part_4-36.png; posX: 4.589146; posY: 0.1473678}
{file: Devana_Special_2_Part_4-37.png; posX: 4.598691; posY: 0.155727}
{file: Devana_Special_2_Part_4-38.png; posX: 4.607308; posY: 0.1589271}
{file: Devana_Special_2_Part_4-39.png; posX: 4.6176; posY: 0.1580428}
{file: Devana_Special_2_Part_4-40.png; posX: 4.632167; posY: 0.1541488}
{file: Devana_Special_2_Part_4-41.png; posX: 4.65016; posY: 0.1483195}
{file: Devana_Special_2_Part_4-42.png; posX: 4.6689; posY: 0.1416296}
{file: Devana_Special_2_Part_4-43.png; posX: 4.688249; posY: 0.1351539}
{file: Devana_Special_2_Part_4-44.png; posX: 4.708066; posY: 0.1299667}
{file: Devana_Special_2_Part_4-45.png; posX: 4.728215; posY: 0.1265682}
{file: Devana_Special_2_Part_4-46.png; posX: 4.748556; posY: 0.1246233}
{file: Devana_Special_2_Part_4-47.png; posX: 4.768949; posY: 0.1239538}
{file: Devana_Special_2_Part_4-48.png; posX: 4.789257; posY: 0.1243817}
{file: Devana_Special_2_Part_4-49.png; posX: 4.80934; posY: 0.1257286}
{file: Devana_Special_2_Part_4-50.png; posX: 4.829061; posY: 0.1278166}
{file: Devana_Special_2_Part_4-51.png; posX: 4.848279; posY: 0.1304675}
{file: Devana_Special_2_Part_4-52.png; posX: 4.866856; posY: 0.133503}
{file: Devana_Special_2_Part_4-53.png; posX: 4.884654; posY: 0.1367452}
{file: Devana_Special_2_Part_4-54.png; posX: 4.901533; posY: 0.1400158}
{file: Devana_Special_2_Part_4-55.png; posX: 4.917355; posY: 0.1431367}
{file: Devana_Special_2_Part_4-56.png; posX: 4.931981; posY: 0.1459299}
{file: Devana_Special_2_Part_4-57.png; posX: 4.945271; posY: 0.148217}
{file: Devana_Special_2_Part_4-58.png; posX: 4.957089; posY: 0.14982}
{file: Devana_Special_2_Part_4-59.png; posX: 4.967294; posY: 0.1505608}
{file: Devana_Special_2_Part_4-60.png; posX: 4.975747; posY: 0.1502504}
{file: Devana_Special_2_Part_4-61.png; posX: 4.982311; posY: 0.1486862}
{file: Devana_Special_2_Part_4-62.png; posX: 4.986845; posY: 0.1456693}
{file: Devana_Special_2_Part_4-63.png; posX: 4.990178; posY: 0.1410012}
{file: Devana_Special_2_Part_4-64.png; posX: 4.993235; posY: 0.134483}
{file: Devana_Special_2_Part_4-65.png; posX: 4.996025; posY: 0.1259161}
{file: Devana_Special_2_Part_4-66.png; posX: 4.99856; posY: 0.1151017}
{file: Devana_Special_2_Part_4-67.png; posX: 5.000849; posY: 0.1018411}
{file: Devana_Special_2_Part_4-68.png; posX: 5.002903; posY: 0.08750188}
{file: Devana_Special_2_Part_4-69.png; posX: 5.00473; posY: 0.07398558}
{file: Devana_Special_2_Part_4-70.png; posX: 5.006343; posY: 0.06189454}
{file: Devana_Special_2_Part_4-71.png; posX: 5.00775; posY: 0.05183119}
{file: Devana_Special_2_Part_4-72.png; posX: 5.008962; posY: 0.04439795}
{file: Devana_Special_2_Part_4-73.png; posX: 5.009989; posY: 0.04019707}
{file: Devana_Special_2_Part_4-74.png; posX: 5.01084; posY: 0.03983098}
{file: Devana_Special_2_Part_4-75.png; posX: 5.011528; posY: 0.04234838}
{file: Devana_Special_2_Part_4-76.png; posX: 5.01206; posY: 0.04607576}
{file: Devana_Special_2_Part_4-77.png; posX: 5.012447; posY: 0.05053228}
{file: Devana_Special_2_Part_4-78.png; posX: 5.0127; posY: 0.05523717}
{file: Devana_Special_2_Part_4-79.png; posX: 5.012828; posY: 0.05970949}
{file: Devana_Special_2_Part_4-80.png; posX: 5.012843; posY: 0.0634684}
{file: Devana_Special_2_Part_4-81.png; posX: 5.012753; posY: 0.06603307}
{file: Devana_Special_2_Part_4-82.png; posX: 5.012568; posY: 0.06692266}
{file: Devana_Special_2_Part_4-83.png; posX: 5.0123; posY: 0.06692511}
{file: Devana_Special_2_Part_4-84.png; posX: 5.011958; posY: 0.06713319}
{file: Devana_Special_2_Part_4-85.png; posX: 5.011552; posY: 0.06752348}
{file: Devana_Special_2_Part_4-86.png; posX: 5.011093; posY: 0.06807238}
{file: Devana_Special_2_Part_4-87.png; posX: 5.010589; posY: 0.0687564}
{file: Devana_Special_2_Part_4-88.png; posX: 5.010053; posY: 0.069552}
{file: Devana_Special_2_Part_4-89.png; posX: 5.009492; posY: 0.0704357}
{file: Devana_Special_2_Part_4-90.png; posX: 5.008919; posY: 0.07138389}
{file: Devana_Special_2_Part_4-91.png; posX: 5.008342; posY: 0.07237303}
{file: Devana_Special_2_Part_4-92.png; posX: 5.007773; posY: 0.0733797}
{file: Devana_Special_2_Part_4-93.png; posX: 5.00722; posY: 0.07438022}
{file: Devana_Special_2_Part_4-94.png; posX: 5.006695; posY: 0.07535124}
{file: Devana_Special_2_Part_4-95.png; posX: 5.006207; posY: 0.07626909}
{file: Devana_Special_2_Part_4-96.png; posX: 5.005766; posY: 0.07711029}
{file: Devana_Special_2_Part_4-97.png; posX: 5.005383; posY: 0.0778513}
{file: Devana_Special_2_Part_4-98.png; posX: 5.005067; posY: 0.07846856}
{file: Devana_Special_2_Part_4-99.png; posX: 5.004829; posY: 0.07893866}
