{file: Devana_Medium_Combo_Part_1-0.png; pivotX: 108.3308; pivotY: 331.4982}
{file: Devana_Medium_Combo_Part_1-1.png; pivotX: 114.4634; pivotY: 320.2095}
{file: Devana_Medium_Combo_Part_1-2.png; pivotX: 107.3565; pivotY: 295.9666}
{file: Devana_Medium_Combo_Part_1-3.png; pivotX: 120.654; pivotY: 298.2249}
{file: Devana_Medium_Combo_Part_1-4.png; pivotX: 151.2623; pivotY: 298.3515}
{file: Devana_Medium_Combo_Part_1-5.png; pivotX: 168.8803; pivotY: 299.076}
{file: Devana_Medium_Combo_Part_1-6.png; pivotX: 179.7915; pivotY: 298.517}
{file: Devana_Medium_Combo_Part_1-7.png; pivotX: 185.2423; pivotY: 297.7747}
{file: Devana_Medium_Combo_Part_1-8.png; pivotX: 182.0638; pivotY: 298.0858}
{file: Devana_Medium_Combo_Part_1-9.png; pivotX: 182.0789; pivotY: 299.3958}
{file: Devana_Medium_Combo_Part_1-10.png; pivotX: 148.3493; pivotY: 275.8016}
{file: Devana_Medium_Combo_Part_1-11.png; pivotX: 147.4426; pivotY: 287.7418}
{file: Devana_Medium_Combo_Part_1-12.png; pivotX: 149.6884; pivotY: 290.4286}
{file: Devana_Medium_Combo_Part_1-13.png; pivotX: 152.7442; pivotY: 292.2496}
{file: Devana_Medium_Combo_Part_1-14.png; pivotX: 156.6854; pivotY: 292.1448}
{file: Devana_Medium_Combo_Part_1-15.png; pivotX: 153.6677; pivotY: 292.2375}
{file: Devana_Medium_Combo_Part_1-16.png; pivotX: 148.1958; pivotY: 293.3253}
{file: Devana_Medium_Combo_Part_1-17.png; pivotX: 148.0564; pivotY: 294.1828}
{file: Devana_Medium_Combo_Part_1-18.png; pivotX: 150.1412; pivotY: 294.8535}
{file: Devana_Medium_Combo_Part_1-19.png; pivotX: 152.3614; pivotY: 295.6499}
{file: Devana_Medium_Combo_Part_1-20.png; pivotX: 154.0537; pivotY: 295.6268}
{file: Devana_Medium_Combo_Part_1-21.png; pivotX: 155.6189; pivotY: 295.9093}
{file: Devana_Medium_Combo_Part_1-22.png; pivotX: 156.754; pivotY: 296.1544}
{file: Devana_Medium_Combo_Part_1-23.png; pivotX: 157.5825; pivotY: 296.2787}
{file: Devana_Medium_Combo_Part_1-24.png; pivotX: 156.5377; pivotY: 297.3896}
{file: Devana_Medium_Combo_Part_1-25.png; pivotX: 154.7276; pivotY: 298.4057}
{file: Devana_Medium_Combo_Part_1-26.png; pivotX: 152.6454; pivotY: 299.2755}
{file: Devana_Medium_Combo_Part_1-27.png; pivotX: 149.3239; pivotY: 301.1305}
{file: Devana_Medium_Combo_Part_1-28.png; pivotX: 145.9191; pivotY: 302.1424}
{file: Devana_Medium_Combo_Part_1-29.png; pivotX: 141.0146; pivotY: 303.9693}
{file: Devana_Medium_Combo_Part_1-30.png; pivotX: 135.833; pivotY: 305.8342}
{file: Devana_Medium_Combo_Part_1-31.png; pivotX: 131.0328; pivotY: 306.791}
