{file: DummyMale_Get_Hit_Staggering_Facing_Camera-0.png; posX: 0; posY: 0}
{file: DummyMale_Get_Hit_Staggering_Facing_Camera-1.png; posX: 0; posY: 0}
{file: DummyMale_Get_Hit_Staggering_Facing_Camera-2.png; posX: 0; posY: 0}
{file: DummyMale_Get_Hit_Staggering_Facing_Camera-3.png; posX: 0; posY: 0}
{file: DummyMale_Get_Hit_Staggering_Facing_Camera-4.png; posX: 0; posY: 0}
{file: DummyMale_Get_Hit_Staggering_Facing_Camera-5.png; posX: 0; posY: 0}
{file: DummyMale_Get_Hit_Staggering_Facing_Camera-6.png; posX: 0; posY: 0}
{file: DummyMale_Get_Hit_Staggering_Facing_Camera-7.png; posX: 0; posY: 0}
{file: DummyMale_Get_Hit_Staggering_Facing_Camera-8.png; posX: 0; posY: 0}
{file: DummyMale_Get_Hit_Staggering_Facing_Camera-9.png; posX: 0; posY: 0}
{file: DummyMale_Get_Hit_Staggering_Facing_Camera-10.png; posX: 0; posY: 0}
{file: DummyMale_Get_Hit_Staggering_Facing_Camera-11.png; posX: 0; posY: 0}
{file: DummyMale_Get_Hit_Staggering_Facing_Camera-12.png; posX: 0; posY: 0}
{file: DummyMale_Get_Hit_Staggering_Facing_Camera-13.png; posX: 0; posY: 0}
{file: DummyMale_Get_Hit_Staggering_Facing_Camera-14.png; posX: 0; posY: 0}
{file: DummyMale_Get_Hit_Staggering_Facing_Camera-15.png; posX: 0; posY: 0}
{file: DummyMale_Get_Hit_Staggering_Facing_Camera-16.png; posX: 0; posY: 0}
{file: DummyMale_Get_Hit_Staggering_Facing_Camera-17.png; posX: 0; posY: 0}
{file: DummyMale_Get_Hit_Staggering_Facing_Camera-18.png; posX: 0; posY: 0}
{file: DummyMale_Get_Hit_Staggering_Facing_Camera-19.png; posX: 0; posY: 0}
{file: DummyMale_Get_Hit_Staggering_Facing_Camera-20.png; posX: 0; posY: 0}
{file: DummyMale_Get_Hit_Staggering_Facing_Camera-21.png; posX: 0; posY: 0}
{file: DummyMale_Get_Hit_Staggering_Facing_Camera-22.png; posX: 0; posY: 0}
{file: DummyMale_Get_Hit_Staggering_Facing_Camera-23.png; posX: 0; posY: 0}
{file: DummyMale_Get_Hit_Staggering_Facing_Camera-24.png; posX: 0; posY: 0}
{file: DummyMale_Get_Hit_Staggering_Facing_Camera-25.png; posX: 0; posY: 0}
{file: DummyMale_Get_Hit_Staggering_Facing_Camera-26.png; posX: 0; posY: 0}
{file: DummyMale_Get_Hit_Staggering_Facing_Camera-27.png; posX: 0; posY: 0}
{file: DummyMale_Get_Hit_Staggering_Facing_Camera-28.png; posX: 0; posY: 0}
{file: DummyMale_Get_Hit_Staggering_Facing_Camera-29.png; posX: 0; posY: 0}
{file: DummyMale_Get_Hit_Staggering_Facing_Camera-30.png; posX: 0; posY: 0}
{file: DummyMale_Get_Hit_Staggering_Facing_Camera-31.png; posX: 0; posY: 0}
{file: DummyMale_Get_Hit_Staggering_Facing_Camera-32.png; posX: 0; posY: 0}
{file: DummyMale_Get_Hit_Staggering_Facing_Camera-33.png; posX: 0; posY: 0}
{file: DummyMale_Get_Hit_Staggering_Facing_Camera-34.png; posX: 0; posY: 0}
{file: DummyMale_Get_Hit_Staggering_Facing_Camera-35.png; posX: 0; posY: 0}
{file: DummyMale_Get_Hit_Staggering_Facing_Camera-36.png; posX: 0; posY: 0}
