{file: Devana_Light_Combo_Part_3-0.png; posX: 0.4630933; posY: 0}
{file: Devana_Light_Combo_Part_3-1.png; posX: 0.4632927; posY: 0.004326582}
{file: Devana_Light_Combo_Part_3-2.png; posX: 0.4621599; posY: 0.01183826}
{file: Devana_Light_Combo_Part_3-3.png; posX: 0.4890522; posY: 0.02262455}
{file: Devana_Light_Combo_Part_3-4.png; posX: 0.554769; posY: 0.03677475}
{file: Devana_Light_Combo_Part_3-5.png; posX: 0.6242474; posY: 0.05290741}
{file: Devana_Light_Combo_Part_3-6.png; posX: 0.6966946; posY: 0.06947213}
{file: Devana_Light_Combo_Part_3-7.png; posX: 0.7713033; posY: 0.0863052}
{file: Devana_Light_Combo_Part_3-8.png; posX: 0.8472666; posY: 0.1032427}
{file: Devana_Light_Combo_Part_3-9.png; posX: 0.9237772; posY: 0.1201209}
{file: Devana_Light_Combo_Part_3-10.png; posX: 1.000028; posY: 0.1367758}
{file: Devana_Light_Combo_Part_3-11.png; posX: 1.075213; posY: 0.1530437}
{file: Devana_Light_Combo_Part_3-12.png; posX: 1.148524; posY: 0.1687608}
{file: Devana_Light_Combo_Part_3-13.png; posX: 1.219154; posY: 0.1837633}
{file: Devana_Light_Combo_Part_3-14.png; posX: 1.286297; posY: 0.1978871}
{file: Devana_Light_Combo_Part_3-15.png; posX: 1.349144; posY: 0.2109686}
{file: Devana_Light_Combo_Part_3-16.png; posX: 1.40689; posY: 0.222844}
{file: Devana_Light_Combo_Part_3-17.png; posX: 1.458727; posY: 0.2333494}
{file: Devana_Light_Combo_Part_3-18.png; posX: 1.505158; posY: 0.2423209}
{file: Devana_Light_Combo_Part_3-19.png; posX: 1.547409; posY: 0.2495947}
{file: Devana_Light_Combo_Part_3-20.png; posX: 1.58576; posY: 0.255724}
{file: Devana_Light_Combo_Part_3-21.png; posX: 1.620489; posY: 0.2613588}
{file: Devana_Light_Combo_Part_3-22.png; posX: 1.651875; posY: 0.2664806}
{file: Devana_Light_Combo_Part_3-23.png; posX: 1.680197; posY: 0.2710709}
{file: Devana_Light_Combo_Part_3-24.png; posX: 1.705733; posY: 0.2751114}
{file: Devana_Light_Combo_Part_3-25.png; posX: 1.728763; posY: 0.2785836}
{file: Devana_Light_Combo_Part_3-26.png; posX: 1.749564; posY: 0.281469}
{file: Devana_Light_Combo_Part_3-27.png; posX: 1.768417; posY: 0.2837492}
